Date	Angle[°]	Geometry	Orb	Pass	VV[dB]	VH[dB]	VV_var[dB]	VH_var[dB]	VV_norm[dB]	VH_norm[dB]
2014-10-12 07:00:00	40.537200927734375	marradi3	95	DESCENDING	-10.410642767502127	-15.445473731792328	0.12293786037640406	0.017231627405439064	-10.410642767502127	-15.445473731792328
2014-10-13 19:00:00	37.229835510253906	marradi3	117	ASCENDING	-8.074289902321642	-14.465955596137285	0.08278199866168315	0.026266907981572513	-9.32848201484224	-15.38754167963949
2014-10-24 07:00:00	40.539798736572266	marradi3	95	DESCENDING	-11.319901817995042	-17.431151916190156	0.05491293197441291	0.011985968151768103	-11.319901817995042	-17.431151916190156
2014-10-25 19:00:00	37.23260498046875	marradi3	117	ASCENDING	-12.201582499339729	-17.470391490913908	0.028280191803287544	0.015608435467591877	-13.553006824216364	-18.47503616771902
2014-11-06 18:00:00	37.23507308959961	marradi3	117	ASCENDING	-10.655616128001402	-16.018009215966813	0.02787698052923991	0.015716165126752682	-11.970620032716438	-16.982502319258604
2014-11-17 06:00:00	40.3889274597168	marradi3	95	DESCENDING	-11.680574205011311	-17.24276933231271	0.05254095647746074	0.01641006080343974	-11.680574205011311	-17.24276933231271
2014-11-29 06:00:00	40.38827133178711	marradi3	95	DESCENDING	-10.108644983229286	-16.118218261471654	0.1426522644642532	0.021760997200886586	-10.108644983229286	-16.118218261471654
2014-11-30 18:00:00	37.233909606933594	marradi3	117	ASCENDING	-9.923115535918154	-17.273027274555133	0.09326708659233712	0.019732900841625305	-11.22086293374734	-18.272215754339168
2014-12-12 18:00:00	37.23295593261719	marradi3	117	ASCENDING	-11.300352223547883	-17.939747612598644	0.04026693132435106	0.015079723296408547	-12.63054504823459	-18.957367789827316
2014-12-23 06:00:00	40.388572692871094	marradi3	95	DESCENDING	-11.895989297420071	-17.370746217293135	0.1241078885771294	0.018209961353146235	-11.895989297420071	-17.370746217293135
2015-01-04 06:00:00	40.382450103759766	marradi3	95	DESCENDING	-12.172696269506194	-17.113300473088863	0.045373865821315904	0.013262624932819269	-12.172696269506194	-17.113300473088863
2015-01-05 18:00:00	37.236087799072266	marradi3	117	ASCENDING	-12.209879214275663	-18.440996899612017	0.06866632615998075	0.006178768132685214	-13.561498996084305	-19.472474274042266
2015-01-17 18:00:00	37.23429489135742	marradi3	117	ASCENDING	-10.750828097130047	-17.29784811866321	0.06685521825537173	0.012705211796072622	-12.06807503894108	-18.297722778638274
2015-01-28 06:00:00	40.383914947509766	marradi3	95	DESCENDING	-13.594995113255672	-18.608359059187173	0.04295416444245238	0.042708784502828355	-13.594995113255672	-18.608359059187173
2015-01-29 18:00:00	37.24302291870117	marradi3	117	ASCENDING	-10.866121944798026	-17.582309420550427	0.06428802303113826	0.020065692979161383	-12.186085019671179	-18.590048104392647
2015-02-09 06:00:00	40.35205841064453	marradi3	95	DESCENDING	-11.852830199232283	-18.66014342687983	0.08175441814922844	0.01919995531717818	-11.852830199232283	-18.66014342687983
2015-02-10 18:00:00	37.24235916137695	marradi3	117	ASCENDING	-12.137558898324354	-18.18826550351111	0.02952114009130603	0.016474170525480177	-13.487474932663453	-19.21275603748984
2015-02-21 06:00:00	40.35206985473633	marradi3	95	DESCENDING	-12.099700025611007	-18.081954266114273	0.07809672431905101	0.016839922556480973	-12.099700025611007	-18.081954266114273
2015-02-22 18:00:00	37.24335479736328	marradi3	117	ASCENDING	-10.61464339121253	-17.61805395784399	0.057931561347739566	0.019358985759332918	-11.928682045766445	-18.62678081087665
2015-03-05 06:00:00	40.351043701171875	marradi3	95	DESCENDING	-12.0852400306908	-17.696836360280265	0.08749621007661307	0.02255936916947605	-12.0852400306908	-17.696836360280265
2015-03-06 18:00:00	37.24169158935547	marradi3	117	ASCENDING	-11.159745934498794	-16.567418552640266	0.04421275917345169	0.019955647389973498	-12.486626306715982	-17.547100253142904
2015-03-17 06:00:00	40.353145599365234	marradi3	95	DESCENDING	-10.17446157544221	-17.406650592980576	0.13981007255872374	0.015523477930933616	-10.17446157544221	-17.406650592980576
2015-03-18 18:00:00	37.2431526184082	marradi3	117	ASCENDING	-10.415580051871913	-18.172975043151695	0.09009361984764583	0.010036551330093834	-11.724929102180893	-19.19704286745284
2015-03-29 07:00:00	40.34843444824219	marradi3	95	DESCENDING	-11.214935895393875	-16.712118496604855	0.08990059101023679	0.05040380021925385	-11.214935895393875	-16.712118496604855
2015-03-30 19:00:00	37.312198638916016	marradi3	117	ASCENDING	-9.879510827239816	-16.872409673219224	0.06242348727078516	0.020177548221911114	-11.176230969987305	-17.860522951007038
2015-04-10 07:00:00	40.3477783203125	marradi3	95	DESCENDING	-12.772208120649992	-17.365716216088245	0.057176765604574506	0.023944699082220234	-12.772208120649992	-17.365716216088245
2015-04-11 19:00:00	37.30074691772461	marradi3	117	ASCENDING	-11.244454743844514	-17.510062594004857	0.04091614453424403	0.01651715430508084	-12.573330716021028	-18.51580399117043
2015-04-22 07:00:00	40.35018539428711	marradi3	95	DESCENDING	-13.151281908020218	-18.772885479222026	0.07224334250298244	0.009321745245764889	-13.151281908020218	-18.772885479222026
2015-04-23 19:00:00	37.30326843261719	marradi3	117	ASCENDING	-11.332673858939952	-17.21181352796906	0.09397880050786377	0.015803469607152024	-12.663628128094736	-18.209309734108288
2015-05-04 07:00:00	40.389564514160156	marradi3	95	DESCENDING	-12.454623692866003	-17.10552462746661	0.06357290251325666	0.02639835551996331	-12.454623692866003	-17.10552462746661
2015-05-05 19:00:00	37.29437255859375	marradi3	117	ASCENDING	-11.169751500070442	-15.88401435564791	0.08868715946034122	0.017432529609927937	-12.496867586924656	-16.844803128077704
2015-05-16 07:00:00	40.364200592041016	marradi3	95	DESCENDING	-12.175367623357207	-17.104173731528125	0.09477647165228904	0.026803029656213246	-12.175367623357207	-17.104173731528125
2015-05-17 19:00:00	37.25215530395508	marradi3	117	ASCENDING	-10.199480946749	-17.462540343394892	0.0673977875114468	0.009042846771112572	-11.503739058243891	-18.46696797271036
2015-05-29 19:00:00	37.33005905151367	marradi3	117	ASCENDING	-9.877435204407336	-15.740093231032263	0.055819555565605146	0.025193850454657114	-11.174106448901242	-16.69690325784198
2015-06-09 07:00:00	40.55419921875	marradi3	95	DESCENDING	-10.890059715914543	-17.79769385830181	0.09700713889506694	0.013899442845834487	-10.890059715914543	-17.79769385830181
2015-06-10 19:00:00	37.24928665161133	marradi3	117	ASCENDING	-9.069146839996238	-15.575559014075735	0.10575558967758499	0.019118435132662804	-10.346776142576427	-16.52782043972063
2015-06-22 19:00:00	37.2489128112793	marradi3	117	ASCENDING	-9.976128994215433	-15.91535664242832	0.060692858962235856	0.012736287510701444	-11.275125301762968	-16.877011882422092
2015-07-03 07:00:00	40.55897521972656	marradi3	95	DESCENDING	-10.867199149544371	-16.67277594019212	0.082667292315175	0.01656197864129043	-10.867199149544371	-16.67277594019212
2015-07-04 19:00:00	37.24915313720703	marradi3	117	ASCENDING	-10.293679875758407	-15.557980725433785	0.10112924519467857	0.018498511656047698	-11.600157158793442	-16.509756193654926
2015-07-15 07:00:00	40.56159973144531	marradi3	95	DESCENDING	-11.568968845603946	-16.76118854601727	0.051017768413995836	0.01896107598675617	-11.568968845603946	-16.76118854601727
2015-07-16 19:00:00	37.332237243652344	marradi3	117	ASCENDING	-10.205994680728391	-16.273007493595596	0.06276032284473404	0.028406227870612605	-11.510406245062068	-17.24455010600533
2015-07-28 19:00:00	37.252471923828125	marradi3	117	ASCENDING	-10.864315717699768	-17.26425868629927	0.05508260237435875	0.011363693423367089	-12.184236240838908	-18.263204755650435
2015-08-08 07:00:00	40.55873107910156	marradi3	95	DESCENDING	-11.151842879728571	-19.18011254198572	0.07479529454304285	0.011906922579618557	-11.151842879728571	-19.18011254198572
2015-08-09 19:00:00	37.27557373046875	marradi3	117	ASCENDING	-11.57468920878182	-17.01005978321273	0.04217327970178498	0.031382873516410476	-12.911344960769744	-18.001978442411385
2015-08-20 07:00:00	40.55876922607422	marradi3	95	DESCENDING	-9.956749254769834	-15.877104127564516	0.10932487872551686	0.025207164948617626	-9.956749254769834	-15.877104127564516
2015-08-21 19:00:00	37.27716064453125	marradi3	117	ASCENDING	-9.14120228081863	-16.116849761784632	0.10561701624860932	0.014859610516464283	-10.420529090846804	-17.08407534364626
2015-09-01 07:00:00	40.56101608276367	marradi3	95	DESCENDING	-10.99325448969582	-17.238038417870115	0.07582002115181899	0.019117659696379432	-10.99325448969582	-17.238038417870115
2015-09-02 19:00:00	37.27682876586914	marradi3	117	ASCENDING	-10.757119122942374	-15.354058269125924	0.04143928371668465	0.022894395234778764	-12.074514270954772	-16.300196235680527
2015-09-13 07:00:00	40.540679931640625	marradi3	95	DESCENDING	-11.96156898252559	-18.323906849593534	0.08739040049800306	0.019415785835544572	-11.96156898252559	-18.323906849593534
2015-09-14 19:00:00	37.276607513427734	marradi3	117	ASCENDING	-8.863972825187103	-17.476973121218624	0.08831455672953738	0.006779314769934457	-10.136768566077897	-18.48179974930307
2015-09-26 19:00:00	37.27774429321289	marradi3	117	ASCENDING	-10.806020971481551	-16.51271817222217	0.17152094690216513	0.029792560692989578	-12.124568166461785	-17.4908876631754
2015-10-08 19:00:00	37.27671432495117	marradi3	117	ASCENDING	-10.034840856882274	-16.11737179639932	0.07017484065699642	0.023299227818608916	-11.335220319164893	-17.08461181007519
2015-10-20 19:00:00	37.28215026855469	marradi3	117	ASCENDING	-9.704699042069661	-16.553509840941025	0.11152984983109307	0.023147915777268564	-10.997300907225132	-17.532807030650673
2015-10-31 06:00:00	40.55331039428711	marradi3	95	DESCENDING	-11.383939921197504	-17.27021025912691	0.05992601020690224	0.028674452198089808	-11.383939921197504	-17.27021025912691
2015-11-01 18:00:00	37.27960205078125	marradi3	117	ASCENDING	-10.568193089595383	-17.01156729022496	0.060136290740076155	0.01450943740369957	-11.881137451587122	-18.00352762493816
2015-11-12 06:00:00	40.384525299072266	marradi3	95	DESCENDING	-11.030784202384726	-17.082586289341215	0.06404734130626319	0.013720669278738495	-11.030784202384726	-17.082586289341215
2015-11-24 06:00:00	40.38379669189453	marradi3	95	DESCENDING	-11.053219598413706	-16.702630412345222	0.09441702277500406	0.01940906649165488	-11.053219598413706	-16.702630412345222
2015-11-25 18:00:00	37.30675506591797	marradi3	117	ASCENDING	-10.918666717361862	-15.870263134507724	0.05988310846911987	0.0315784465109464	-12.239867660489816	-16.830671750021512
2015-12-06 06:00:00	40.41158676147461	marradi3	95	DESCENDING	-12.79885310032293	-17.258714756620694	0.08575016908863217	0.028067334635675675	-12.79885310032293	-17.258714756620694
2015-12-07 18:00:00	37.30531692504883	marradi3	117	ASCENDING	-11.024019921147996	-16.51036951168646	0.0888444317051513	0.023307637313664767	-12.347702812149073	-17.488474073166383
2015-12-18 06:00:00	40.38114929199219	marradi3	95	DESCENDING	-12.300549352674237	-17.391760690241252	0.10080357547464561	0.023690532877346012	-12.300549352674237	-17.391760690241252
2015-12-19 18:00:00	37.30287551879883	marradi3	117	ASCENDING	-10.878915891368894	-16.436555207105112	0.07435807860885306	0.03162499318033919	-12.199180370540534	-17.412619148475677
2015-12-30 06:00:00	40.412086486816406	marradi3	95	DESCENDING	-13.190998907986916	-18.51277648305665	0.047264380852225674	0.025122738246938392	-13.190998907986916	-18.51277648305665
2016-01-11 06:00:00	40.38351058959961	marradi3	95	DESCENDING	-11.754882349442235	-16.531220615322347	0.03475656417549358	0.030644158233290704	-11.754882349442235	-16.531220615322347
2016-01-12 18:00:00	37.30344772338867	marradi3	117	ASCENDING	-10.837282181546517	-15.67139442918621	0.04178631927070238	0.018992831736122706	-12.15656583912156	-16.626305255599323
2016-01-23 06:00:00	40.41481018066406	marradi3	95	DESCENDING	-14.220782902514399	-20.425336027492854	0.032755048974181744	0.01769276119734647	-14.220782902514399	-20.425336027492854
2016-01-24 18:00:00	37.30405044555664	marradi3	117	ASCENDING	-12.409459964389363	-17.087838628554554	0.049254806745462044	0.01720791012967498	-13.765781539788131	-18.08190750886262
2016-02-04 06:00:00	40.38113021850586	marradi3	95	DESCENDING	-11.887696507392665	-16.208953071289635	0.11004978295708606	0.07290282036803958	-11.887696507392665	-16.208953071289635
2016-02-04 06:00:00	40.38113021850586	marradi3	95	DESCENDING	-11.873256528103395	-16.164073388785283	0.11429306544729671	0.0753004021731788	-11.873256528103395	-16.164073388785283
2016-02-05 18:00:00	37.304832458496094	marradi3	117	ASCENDING	-12.260440910015404	-18.177594301884024	0.019223760385942267	0.0135535524682899	-13.61325184205672	-19.201789827073405
2016-02-16 06:00:00	40.415245056152344	marradi3	95	DESCENDING	-12.515903910753636	-17.076738223620055	0.03456919360621751	0.021244215930984578	-12.515903910753636	-17.076738223620055
2016-02-17 18:00:00	37.27859115600586	marradi3	117	ASCENDING	-10.406862373638292	-14.92679487844022	0.10971833403425042	0.025073980317094863	-11.716006049813663	-15.86112101161143
2016-02-28 06:00:00	40.38441467285156	marradi3	95	DESCENDING	-10.588486157957176	-16.287314470417897	0.08015094258647647	0.020355299100545923	-10.588486157957176	-16.287314470417897
2016-02-29 18:00:00	37.30717468261719	marradi3	117	ASCENDING	-10.121675100829766	-15.29726928070858	0.04378702867992799	0.021186698779496648	-11.424100234808492	-16.24183729747619
2016-03-11 06:00:00	40.418888092041016	marradi3	95	DESCENDING	-11.692355710092873	-16.50243243106162	0.04731080582732071	0.01809399304232422	-11.692355710092873	-16.50243243106162
2016-03-12 18:00:00	37.30805587768555	marradi3	117	ASCENDING	-11.814262369790542	-16.168253618260486	0.03922450805509299	0.021617195284662563	-13.1565620706671	-17.136900276210522
2016-03-23 06:00:00	40.40485382080078	marradi3	95	DESCENDING	-11.92322629021779	-17.3451144820956	0.03535333116813543	0.025156332127963296	-11.92322629021779	-17.3451144820956
2016-03-24 18:00:00	37.30916213989258	marradi3	117	ASCENDING	-11.814385990688063	-16.67849855473484	0.02302848550919128	0.02457717748614291	-13.156688603869256	-17.661251097499118
2016-04-04 07:00:00	40.42208480834961	marradi3	95	DESCENDING	-12.765567888916262	-17.54596280712487	0.03574017186537502	0.025608868785432743	-12.765567888916262	-17.54596280712487
2016-04-05 19:00:00	37.31039047241211	marradi3	117	ASCENDING	-12.230725138664047	-16.812564114565987	0.044136073662274636	0.012662892481089186	-13.582836016099966	-17.799022942702937
2016-04-16 07:00:00	40.40409851074219	marradi3	95	DESCENDING	-12.644233661936155	-18.626118389075263	0.10322532551363972	0.018254159262572255	-12.644233661936155	-18.626118389075263
2016-04-17 19:00:00	37.31282043457031	marradi3	117	ASCENDING	-11.836453348738106	-17.313209843694864	0.060965914588650014	0.013841927794058441	-13.179275832510884	-18.313509183482218
2016-04-28 07:00:00	40.41978073120117	marradi3	95	DESCENDING	-12.55437531404684	-19.37511377354165	0.04076118724932069	0.008485116269468206	-12.55437531404684	-19.37511377354165
2016-04-29 19:00:00	37.31203842163086	marradi3	117	ASCENDING	-12.199810173652157	-16.403915955618473	0.07973598448917406	0.03250151845661397	-13.55119274545615	-17.379077574420048
2016-05-10 07:00:00	40.4039421081543	marradi3	95	DESCENDING	-11.261887347992358	-18.371260959565728	0.10893454719559349	0.01394527320685731	-11.261887347992358	-18.371260959565728
2016-05-11 19:00:00	37.314659118652344	marradi3	117	ASCENDING	-11.583864881218407	-17.83904226145482	0.0789333478191477	0.009015363634735938	-12.920736796928647	-18.853878406972708
2016-05-22 07:00:00	40.42091751098633	marradi3	95	DESCENDING	-12.34578949560297	-16.6613812301907	0.07673592000547563	0.030875240148606868	-12.34578949560297	-16.6613812301907
2016-05-23 19:00:00	37.31475830078125	marradi3	117	ASCENDING	-12.481242991088404	-16.42955751295986	0.04598864944047021	0.015800317757216988	-13.839255656307314	-17.405428000832856
2016-06-03 07:00:00	40.560447692871094	marradi3	95	DESCENDING	-12.763629470520886	-17.746799957746077	0.04319938089079653	0.01454948867096017	-12.763629470520886	-17.746799957746077
2016-06-04 19:00:00	37.364837646484375	marradi3	117	ASCENDING	-10.685260332086981	-15.960388801679038	0.07355476114973873	0.020851246156030994	-12.000962605400565	-16.923288970149155
2016-06-15 07:00:00	40.56256866455078	marradi3	95	DESCENDING	-12.621731114206291	-17.599825390533056	0.05956689814300864	0.014504345076993093	-12.621731114206291	-17.599825390533056
2016-06-28 19:00:00	37.367149353027344	marradi3	117	ASCENDING	-10.523158672899394	-16.512613348257595	0.10429031604319669	0.017156777051450748	-11.835042098244509	-17.490779941318728
2016-07-09 07:00:00	40.56145477294922	marradi3	95	DESCENDING	-13.055981493098747	-17.921623109774465	0.07531610615346306	0.02407832194318546	-13.055981493098747	-17.921623109774465
2016-07-21 07:00:00	40.55955505371094	marradi3	95	DESCENDING	-13.04769372573412	-17.143717471292575	0.030074902699780956	0.02256444386978342	-13.04769372573412	-17.143717471292575
2016-07-22 19:00:00	37.3664665222168	marradi3	117	ASCENDING	-10.653969005121196	-17.0030707646177	0.08634034649387766	0.00936668066184771	-11.968934106335412	-17.994796210157155
2016-08-02 07:00:00	40.56084442138672	marradi3	95	DESCENDING	-12.513566855360999	-17.917159269432567	0.06612476130895151	0.018657789265668537	-12.513566855360999	-17.917159269432567
