Date,PET_mean (kg/m2/8day),PET_variance
2017-04-07T00:00:00Z,39.27738095,0.042222222
2017-04-15T00:00:00Z,35.39047619,0.168888889
2017-04-23T00:00:00Z,34.01428571,0.115555556
2017-05-01T00:00:00Z,35.60238095,0.086666667
2017-05-09T00:00:00Z,44.31547619,0.308888889
2017-05-17T00:00:00Z,53.71309524,0.086666667
2017-05-25T00:00:00Z,60.87857143,0.008888889
2017-06-02T00:00:00Z,55.80119048,0.086666667
2017-06-10T00:00:00Z,59.86071429,0.068888889
2017-06-18T00:00:00Z,61.9547619,0.042222222
2017-06-26T00:00:00Z,53.70952381,0.108888889
2017-07-04T00:00:00Z,66.26666667,0.108888889
2017-07-12T00:00:00Z,61.32619048,0.006666667
2017-07-20T00:00:00Z,55.93846154,0.01
2017-07-28T00:00:00Z,61.91904762,0.135555556
2017-08-05T00:00:00Z,52.584,0.0225
2017-08-13T00:00:00Z,54.4,0.108888889
2017-08-21T00:00:00Z,52.9,0
2017-08-29T00:00:00Z,46.25357143,0.02
2017-09-06T00:00:00Z,26.95384615,0.0625
2017-09-14T00:00:00Z,29.05714286,0.035555556
2017-09-22T00:00:00Z,27.2797619,0.006666667
2017-09-30T00:00:00Z,22.77380952,0.006666667
2017-10-08T00:00:00Z,27.4225,0.01
2017-10-16T00:00:00Z,25.584,0.0225
2017-10-24T00:00:00Z,19.4,0.108888889
2017-11-01T00:00:00Z,8.814285714,0.02
2017-11-17T00:00:00Z,7.030769231,0.0025
2017-11-25T00:00:00Z,6.985714286,0.02
2017-12-03T00:00:00Z,5.427380952,0.028888889
2017-12-11T00:00:00Z,5.538461538,0.01
2017-12-19T00:00:00Z,6.279761905,0.006666667
2017-12-27T00:00:00Z,3.073809524,0.006666667
2018-01-01T00:00:00Z,5.447619048,0.026666667
2018-01-09T00:00:00Z,4.80952381,0.008888889
2018-01-17T00:00:00Z,8.370238095,0.028888889
2018-02-02T00:00:00Z,5.826666667,0.0625
2018-02-10T00:00:00Z,9.494047619,0.006666667
2018-02-18T00:00:00Z,5.7,0
2018-02-26T00:00:00Z,4.014285714,1.28
2018-03-06T00:00:00Z,8.716,0.0225
2018-03-22T00:00:00Z,22.30357143,0.028888889
2018-03-30T00:00:00Z,24.32133333,0.04
2018-04-07T00:00:00Z,28.30833333,0.046666667
2018-04-15T00:00:00Z,42.57380952,0.006666667
2018-04-23T00:00:00Z,46.62261905,0.126666667
2018-05-09T00:00:00Z,32.30119048,0.175555556
2018-05-17T00:00:00Z,41.81666667,0.186666667
2018-05-25T00:00:00Z,54.1775,0.01
2018-06-02T00:00:00Z,45.93452381,0.046666667
2018-06-10T00:00:00Z,53.7775,0.01
2018-06-18T00:00:00Z,54.9797619,0.006666667
2018-06-26T00:00:00Z,66.84166667,0.046666667
2018-07-04T00:00:00Z,58.47866667,0.04
2018-07-12T00:00:00Z,60.84285714,0.035555556
2018-07-20T00:00:00Z,54.95952381,0.095555556
2018-07-28T00:00:00Z,54.29230769,0.0225
2018-08-05T00:00:00Z,54.4,0
2018-08-13T00:00:00Z,48.10357143,0.095555556
2018-08-21T00:00:00Z,48.90238095,0.086666667
2018-08-29T00:00:00Z,36.8297619,0.108888889
2018-09-06T00:00:00Z,45.468,0.09
2018-09-14T00:00:00Z,34.66666667,0.108888889
2018-09-22T00:00:00Z,35.98571429,0.02
2018-09-30T00:00:00Z,23.79166667,0.046666667
2018-10-08T00:00:00Z,23.17142857,0.08
2018-10-16T00:00:00Z,16.03333333,0.062222222
2018-10-24T00:00:00Z,15.37261905,0.162222222
2018-11-01T00:00:00Z,8.610666667,0.01
2018-11-25T00:00:00Z,5.3775,0.01
2018-12-03T00:00:00Z,7.425,0.015555556
2018-12-11T00:00:00Z,6.453571429,0.02
2018-12-19T00:00:00Z,3.98452381,0.002222222
2018-12-27T00:00:00Z,4.073809524,0.006666667
2019-01-01T00:00:00Z,8.028571429,0.062222222
2019-01-09T00:00:00Z,9.685714286,0.02
2019-01-17T00:00:00Z,3.810666667,0.01
2019-01-25T00:00:00Z,5.40952381,0.008888889
2019-02-02T00:00:00Z,9.263095238,0.015555556
2019-02-10T00:00:00Z,15.46071429,0.068888889
2019-02-18T00:00:00Z,15.78690476,0.126666667
2019-03-06T00:00:00Z,19.43333333,0.046666667
2019-03-14T00:00:00Z,21.3047619,0.002222222
2019-03-22T00:00:00Z,29.46309524,0.015555556
2019-03-30T00:00:00Z,27.97380952,0.062222222
2019-04-07T00:00:00Z,20.18875,0.0025
2019-04-15T00:00:00Z,25.53928571,0.06
2019-04-23T00:00:00Z,30.66904762,0.595555556
