Datetime	NDVI
2017-04-03 11:00:00	0.0
2017-04-03 12:00:00	0.0004839398620040389
2017-04-03 13:00:00	0.0009670614794752652
2017-04-03 14:00:00	0.0014493648524136792
2017-04-03 15:00:00	0.0019308499808192812
2017-04-03 16:00:00	0.00241151686469207
2017-04-03 17:00:00	0.002891365504032046
2017-04-03 18:00:00	0.0033703958988392114
2017-04-03 19:00:00	0.0038486080491135634
2017-04-03 20:00:00	0.004326001954855102
2017-04-03 21:00:00	0.00480257761606383
2017-04-03 22:00:00	0.005278335032739745
2017-04-03 23:00:00	0.005753274204882846
2017-04-04 00:00:00	0.006227395132493137
2017-04-04 01:00:00	0.006700697815570614
2017-04-04 02:00:00	0.007173182254115279
2017-04-04 03:00:00	0.007644848448127131
2017-04-04 04:00:00	0.008115696397606172
2017-04-04 05:00:00	0.0085857261025524
2017-04-04 06:00:00	0.009054937562965815
2017-04-04 07:00:00	0.00952333077884642
2017-04-04 08:00:00	0.009990905750194208
2017-04-04 09:00:00	0.010457662477009189
2017-04-04 10:00:00	0.010923600959291352
2017-04-04 11:00:00	0.011388721197040706
2017-04-04 12:00:00	0.01185302319025725
2017-04-04 13:00:00	0.012316506938940975
2017-04-04 14:00:00	0.012779172443091893
2017-04-04 15:00:00	0.013241019702709998
2017-04-04 16:00:00	0.013702048717795288
2017-04-04 17:00:00	0.014162259488347765
2017-04-04 18:00:00	0.014621652014367433
2017-04-04 19:00:00	0.015080226295854282
2017-04-04 20:00:00	0.015537982332808327
2017-04-04 21:00:00	0.01599492012522956
2017-04-04 22:00:00	0.01645103967311797
2017-04-04 23:00:00	0.016906340976473578
2017-04-05 00:00:00	0.017360824035296367
2017-04-05 01:00:00	0.01781448884958635
2017-04-05 02:00:00	0.018267335419343514
2017-04-05 03:00:00	0.018719363744567872
2017-04-05 04:00:00	0.019170573825259413
2017-04-05 05:00:00	0.019620965661418143
2017-04-05 06:00:00	0.02007053925304406
2017-04-05 07:00:00	0.020519294600137166
2017-04-05 08:00:00	0.02096723170269746
2017-04-05 09:00:00	0.02141435056072494
2017-04-05 10:00:00	0.021860651174219606
2017-04-05 11:00:00	0.02230613354318146
2017-04-05 12:00:00	0.0227507976676105
2017-04-05 13:00:00	0.023194643547506732
2017-04-05 14:00:00	0.02363767118287015
2017-04-05 15:00:00	0.02407988057370076
2017-04-05 16:00:00	0.024521271719998555
2017-04-05 17:00:00	0.024961844621763533
2017-04-05 18:00:00	0.0254015992789957
2017-04-05 19:00:00	0.025840535691695053
2017-04-05 20:00:00	0.026278653859861605
2017-04-05 21:00:00	0.02671595378349533
2017-04-05 22:00:00	0.02715243546259625
2017-04-05 23:00:00	0.02758809889716436
2017-04-06 00:00:00	0.028022944087199644
2017-04-06 01:00:00	0.028456971032702134
2017-04-06 02:00:00	0.028890179733671802
2017-04-06 03:00:00	0.029322570190108657
2017-04-06 04:00:00	0.029754142402012705
2017-04-06 05:00:00	0.030184896369383932
2017-04-06 06:00:00	0.030614832092222353
2017-04-06 07:00:00	0.031043949570527963
2017-04-06 08:00:00	0.03147224880430075
2017-04-06 09:00:00	0.031899729793540735
2017-04-06 10:00:00	0.03232639253824791
2017-04-06 11:00:00	0.03275223703842226
2017-04-06 12:00:00	0.03317726329406381
2017-04-06 13:00:00	0.03360147130517254
2017-04-06 14:00:00	0.034024861071748465
2017-04-06 15:00:00	0.034447432593791565
2017-04-06 16:00:00	0.03486918587130187
2017-04-06 17:00:00	0.03529012090427935
2017-04-06 18:00:00	0.035710237692724016
2017-04-06 19:00:00	0.036129536236635874
2017-04-06 20:00:00	0.03654801653601492
2017-04-06 21:00:00	0.03696567859086116
2017-04-06 22:00:00	0.037382522401174574
2017-04-06 23:00:00	0.03779854796695518
2017-04-07 00:00:00	0.038213755288202984
2017-04-07 01:00:00	0.03862814436491796
2017-04-07 02:00:00	0.03904171519710013
2017-04-07 03:00:00	0.039454467784749495
2017-04-07 04:00:00	0.03986640212786604
2017-04-07 05:00:00	0.04027751822644978
2017-04-07 06:00:00	0.0406878160805007
2017-04-07 07:00:00	0.041097295690018805
2017-04-07 08:00:00	0.04150595705500411
2017-04-07 09:00:00	0.04191380017545659
2017-04-07 10:00:00	0.042320825051376264
2017-04-07 11:00:00	0.042727031682763116
2017-04-07 12:00:00	0.043132420069617164
2017-04-07 13:00:00	0.043536990211938395
2017-04-07 14:00:00	0.04394074210972683
2017-04-07 15:00:00	0.04434367576298243
2017-04-07 16:00:00	0.04474579117170523
2017-04-07 17:00:00	0.045147088335895216
2017-04-07 18:00:00	0.04554756725555239
2017-04-07 19:00:00	0.045947227930676744
2017-04-07 20:00:00	0.046346070361268296
2017-04-07 21:00:00	0.04674409454732704
2017-04-07 22:00:00	0.04714130048885295
2017-04-07 23:00:00	0.04753768818584606
2017-04-08 00:00:00	0.047933257638306366
2017-04-08 01:00:00	0.04832800884623385
2017-04-08 02:00:00	0.04872194180962852
2017-04-08 03:00:00	0.04911505652849039
2017-04-08 04:00:00	0.04950735300281943
2017-04-08 05:00:00	0.04989883123261567
2017-04-08 06:00:00	0.050289491217879095
2017-04-08 07:00:00	0.0506793329586097
2017-04-08 08:00:00	0.0510683564548075
2017-04-08 09:00:00	0.051456561706472476
2017-04-08 10:00:00	0.05184394871360466
2017-04-08 11:00:00	0.05223051747620402
2017-04-08 12:00:00	0.05261626799427057
2017-04-08 13:00:00	0.05300120026780431
2017-04-08 14:00:00	0.053385314296805236
2017-04-08 15:00:00	0.05376861008127336
2017-04-08 16:00:00	0.05415108762120863
