Date	NDVI	Geometry
2019-04-14 12:00:00		budrio-half
2019-04-19 12:00:00	0.20974577792231142	budrio-half
2019-04-24 12:00:00		budrio-half
2019-04-29 12:00:00		budrio-half
2019-05-04 12:00:00		budrio-half
2019-05-09 12:00:00	0.6006151864505099	budrio-half
2019-05-14 12:00:00		budrio-half
2019-05-19 12:00:00		budrio-half
2019-05-24 12:00:00	0.7839669272416496	budrio-half
2019-05-29 12:00:00		budrio-half
2019-06-03 12:00:00	0.779486706367742	budrio-half
2019-06-13 12:00:00	0.7739945867994499	budrio-half
2019-06-18 12:00:00	0.6889406865662125	budrio-half
2019-06-23 12:00:00	0.6622533415957573	budrio-half
2019-06-28 12:00:00	0.5015302132544204	budrio-half
2019-07-03 12:00:00	0.4057831926727613	budrio-half
2019-07-08 12:00:00	0.21872302234937177	budrio-half
2019-07-13 12:00:00	0.14693395775184864	budrio-half
2019-07-18 12:00:00		budrio-half
2019-07-23 12:00:00	0.10636623655022348	budrio-half
2019-07-28 12:00:00		budrio-half
2019-08-02 12:00:00		budrio-half
2019-08-07 12:00:00		budrio-half
2019-08-12 12:00:00		budrio-half
2019-08-17 12:00:00	0.14617104567963402	budrio-half
2019-08-22 12:00:00		budrio-half
2019-08-27 12:00:00	0.14027106697379127	budrio-half
2019-09-01 12:00:00	0.13402444053256365	budrio-half
2019-09-06 12:00:00		budrio-half
2019-09-11 12:00:00	0.1407126673755047	budrio-half
2019-09-16 12:00:00	0.13383052558546152	budrio-half
2019-09-21 12:00:00	0.1478375848482087	budrio-half
2019-09-26 12:00:00		budrio-half
2019-10-01 12:00:00		budrio-half
2019-10-06 12:00:00		budrio-half
2019-10-11 12:00:00	0.19725556626230545	budrio-half
2019-10-16 12:00:00	0.2409805206107415	budrio-half
2019-10-21 12:00:00	0.16322400320651187	budrio-half
2019-10-26 12:00:00	0.1923006688044046	budrio-half
2019-10-31 11:00:00		budrio-half
2019-11-05 11:00:00		budrio-half
2019-11-10 11:00:00	0.1458141422151142	budrio-half
2019-11-15 11:00:00		budrio-half
2019-11-20 11:00:00		budrio-half
2019-11-30 11:00:00		budrio-half
2019-12-05 11:00:00		budrio-half
2019-12-10 11:00:00	0.20617642880239112	budrio-half
2019-12-15 11:00:00	0.5044848148779871	budrio-half
2019-12-20 11:00:00		budrio-half
2019-12-25 11:00:00	0.2612259642371213	budrio-half
2019-12-30 11:00:00		budrio-half
2020-01-04 11:00:00	0.2789250343611924	budrio-half
2020-01-09 11:00:00	0.220071574509946	budrio-half
2020-01-14 11:00:00		budrio-half
2020-01-19 11:00:00		budrio-half
2020-01-24 11:00:00		budrio-half
2020-01-29 11:00:00	0.266629630850642	budrio-half
2020-02-08 11:00:00	0.213476604702804	budrio-half
2020-02-13 11:00:00	0.19504878274893406	budrio-half
2020-02-18 11:00:00		budrio-half
2020-02-23 11:00:00		budrio-half
2020-02-28 11:00:00	0.23016255160510005	budrio-half
2020-03-04 11:00:00	0.22950567505034997	budrio-half
2020-03-09 11:00:00		budrio-half
2020-03-14 11:00:00		budrio-half
2020-03-19 11:00:00	0.1757135286731	budrio-half
2020-03-24 11:00:00		budrio-half
2020-03-29 12:00:00	0.2091359447126918	budrio-half
2020-04-03 12:00:00	0.18899227866108415	budrio-half
2020-04-08 12:00:00	0.15144591427854193	budrio-half
2020-04-13 12:00:00		budrio-half
2020-04-18 12:00:00		budrio-half
2020-04-23 12:00:00	0.18183672731066747	budrio-half
2020-04-28 12:00:00		budrio-half
2020-05-03 12:00:00		budrio-half
2020-05-08 12:00:00	0.20033657923428608	budrio-half
2020-05-13 12:00:00		budrio-half
2020-05-18 12:00:00		budrio-half
2020-05-23 12:00:00	0.38605150195930393	budrio-half
2020-05-28 12:00:00		budrio-half
2020-06-02 12:00:00	0.6496345868210278	budrio-half
2020-06-07 12:00:00		budrio-half
2020-06-12 12:00:00	0.8188912393314279	budrio-half
2020-06-17 12:00:00	0.8169260537599174	budrio-half
2020-06-22 12:00:00	0.8306911574214519	budrio-half
2020-06-27 12:00:00	0.8359513198172137	budrio-half
2020-07-02 12:00:00	0.7824029920497984	budrio-half
2020-07-07 12:00:00		budrio-half
2020-07-12 12:00:00		budrio-half
2020-07-17 12:00:00		budrio-half
2020-07-22 12:00:00	0.7183248587592822	budrio-half
2020-07-27 12:00:00	0.8315530685472603	budrio-half
2020-08-01 12:00:00	0.7466397298734164	budrio-half
2020-08-06 12:00:00	0.8383518694700167	budrio-half
2020-08-11 12:00:00	0.7535691492648378	budrio-half
2020-08-16 12:00:00		budrio-half
2020-08-21 12:00:00	0.7612941542442557	budrio-half
2020-08-26 12:00:00		budrio-half
2020-08-31 12:00:00		budrio-half
2020-09-05 12:00:00	0.5046935163952199	budrio-half
2020-09-10 12:00:00	0.07893304631883563	budrio-half
2020-09-15 12:00:00	0.11067638548595901	budrio-half
2020-09-20 12:00:00		budrio-half
2020-09-25 12:00:00	0.12585442775310218	budrio-half
2020-09-30 12:00:00	0.1243822535025979	budrio-half
2020-10-10 12:00:00	0.12341312280365908	budrio-half
2020-10-15 12:00:00		budrio-half
2020-10-20 12:00:00	0.1311104313944384	budrio-half
2020-10-25 11:00:00	0.11138991057151362	budrio-half
2020-10-30 11:00:00		budrio-half
2020-11-04 11:00:00		budrio-half
2020-11-09 11:00:00	0.1376151282037846	budrio-half
2020-11-14 11:00:00		budrio-half
2020-11-19 11:00:00	0.1570606197971838	budrio-half
2020-11-24 11:00:00	0.14628576899066897	budrio-half
2020-11-29 11:00:00		budrio-half
2020-12-04 11:00:00		budrio-half
2020-12-09 11:00:00		budrio-half
2020-12-19 11:00:00		budrio-half
2020-12-24 11:00:00		budrio-half
2020-12-29 11:00:00	0.2621020979261115	budrio-half
2021-01-03 11:00:00	0.21076302431282268	budrio-half
2021-01-08 11:00:00		budrio-half
2021-01-13 11:00:00	0.23117062465338228	budrio-half
2021-01-18 11:00:00		budrio-half
2021-01-23 11:00:00		budrio-half
2021-01-28 11:00:00		budrio-half
2021-02-02 11:00:00		budrio-half
2021-02-07 11:00:00		budrio-half
2021-02-12 11:00:00		budrio-half
2021-02-17 11:00:00		budrio-half
2021-02-22 11:00:00		budrio-half
2021-02-27 11:00:00	0.18560775345666541	budrio-half
2021-03-04 11:00:00	0.1745693137980071	budrio-half
2021-03-09 11:00:00	0.19796245956082248	budrio-half
2021-03-14 11:00:00		budrio-half
2021-03-19 11:00:00	0.18864921642087062	budrio-half
2021-03-24 11:00:00	0.16221620039421286	budrio-half
2021-03-29 12:00:00	0.16874836088934017	budrio-half
2021-04-03 12:00:00		budrio-half
2021-04-08 12:00:00	0.1651256996085237	budrio-half
2021-04-13 12:00:00		budrio-half
2021-04-18 12:00:00		budrio-half
2021-04-23 12:00:00	0.14959090066730946	budrio-half
2021-04-28 12:00:00		budrio-half
2021-05-03 12:00:00	0.13598798098027576	budrio-half
2021-05-08 12:00:00		budrio-half
2021-05-13 12:00:00		budrio-half
2021-05-18 12:00:00	0.1657148152616189	budrio-half
2021-05-23 12:00:00	0.14235338534064199	budrio-half
2021-05-28 12:00:00	0.20306179040872507	budrio-half
2021-06-02 12:00:00	0.21621916154534515	budrio-half
2021-06-07 12:00:00	0.3550432924915994	budrio-half
2021-06-12 12:00:00	0.3932579683050953	budrio-half
2021-06-17 12:00:00	0.36204483764896445	budrio-half
2021-06-22 12:00:00	0.37837026215288116	budrio-half
2021-06-27 12:00:00	0.4024045218542001	budrio-half
2021-07-02 12:00:00	0.44263095120478996	budrio-half
2021-07-07 12:00:00	0.37985809483980637	budrio-half
2021-07-12 12:00:00	0.38435350663269174	budrio-half
2021-07-17 12:00:00		budrio-half
2021-07-22 12:00:00	0.38618847241024035	budrio-half
2021-07-27 12:00:00		budrio-half
2021-08-01 12:00:00	0.31233768896720404	budrio-half
2021-08-06 12:00:00	0.2584806187343084	budrio-half
2021-08-11 12:00:00	0.2296956164080245	budrio-half
2021-08-16 12:00:00	0.22226833870185717	budrio-half
2021-08-21 12:00:00	0.2257014494277117	budrio-half
2021-08-26 12:00:00	0.1994193698072678	budrio-half
2021-08-31 12:00:00	0.179206375881113	budrio-half
2021-09-05 12:00:00	0.1691915354541953	budrio-half
2021-09-10 12:00:00	0.172333146843043	budrio-half
2021-09-15 12:00:00		budrio-half
2021-09-20 12:00:00	0.11763466636131067	budrio-half
2021-09-25 12:00:00		budrio-half
2021-09-30 12:00:00		budrio-half
2021-10-05 12:00:00		budrio-half
2021-10-10 12:00:00		budrio-half
2021-10-15 12:00:00	0.15155589136994851	budrio-half
2021-10-20 12:00:00	0.1419993002300464	budrio-half
2021-10-25 12:00:00		budrio-half
2021-10-30 12:00:00	0.144939541067666	budrio-half
2021-11-04 11:00:00	0.29779064704716374	budrio-half
2021-11-14 11:00:00		budrio-half
2021-11-19 11:00:00		budrio-half
2021-11-24 11:00:00	0.6349770384883304	budrio-half
2021-11-29 11:00:00		budrio-half
2021-12-04 11:00:00		budrio-half
2021-12-09 11:00:00		budrio-half
2021-12-14 11:00:00	0.7893344964931426	budrio-half
2021-12-19 11:00:00	0.7679237366713856	budrio-half
2021-12-24 11:00:00		budrio-half
2021-12-29 11:00:00		budrio-half
2022-01-03 11:00:00		budrio-half
2022-01-08 11:00:00	0.8110091074764161	budrio-half
2022-01-13 11:00:00	0.8375426386427973	budrio-half
2022-01-18 11:00:00		budrio-half
2022-01-23 11:00:00		budrio-half
2022-01-28 11:00:00		budrio-half
2022-02-02 11:00:00	0.48353339123865563	budrio-half
2022-02-07 11:00:00		budrio-half
2022-02-12 11:00:00		budrio-half
2022-02-17 11:00:00	0.5100820225256426	budrio-half
2022-02-22 11:00:00	0.5232656597508136	budrio-half
2022-02-27 11:00:00		budrio-half
2022-03-04 11:00:00		budrio-half
2022-03-09 11:00:00	0.5229339162090538	budrio-half
2022-03-14 11:00:00		budrio-half
2022-03-19 11:00:00	0.5101721639326802	budrio-half
2022-03-24 11:00:00	0.5447641538369159	budrio-half
2022-03-29 12:00:00		budrio-half
2022-04-03 12:00:00	0.500846516578824	budrio-half
2022-04-08 12:00:00		budrio-half
2022-04-13 12:00:00		budrio-half
2022-04-18 12:00:00	0.6140144597319663	budrio-half
2022-04-23 12:00:00		budrio-half
2022-04-28 12:00:00		budrio-half
2022-05-03 12:00:00	0.6062202817684743	budrio-half
2022-05-08 12:00:00		budrio-half
2022-05-13 12:00:00	0.5937142460395257	budrio-half
2022-05-18 12:00:00	0.5683988204451175	budrio-half
2022-05-23 12:00:00	0.522863920777088	budrio-half
2022-05-28 12:00:00	0.47504329031568937	budrio-half
2022-06-02 12:00:00	0.4468797471655934	budrio-half
2022-06-07 12:00:00	0.3439216985931279	budrio-half
2022-06-12 12:00:00	0.23555433477725868	budrio-half
2022-06-17 12:00:00		budrio-half
2022-06-22 12:00:00		budrio-half
2022-06-27 12:00:00		budrio-half
2022-07-02 12:00:00	0.16356722205646565	budrio-half
2022-07-07 12:00:00	0.15072651679530386	budrio-half
2022-07-12 12:00:00	0.16707343662851099	budrio-half
2022-07-17 12:00:00	0.12409576452947557	budrio-half
2022-07-22 12:00:00	0.1274077984107863	budrio-half
2022-07-27 12:00:00		budrio-half
2022-08-01 12:00:00	0.0769895173840493	budrio-half
2022-08-06 12:00:00	0.06572818596476454	budrio-half
2022-08-11 12:00:00	0.07954344888911791	budrio-half
2022-08-16 12:00:00	0.07813643653779667	budrio-half
2022-08-21 12:00:00	0.07080579264897474	budrio-half
2022-08-26 12:00:00	0.05929501478575966	budrio-half
2022-08-31 12:00:00		budrio-half
