Date	Angle[°]	Geometry	Orb	Pass	VH[lin]	VH_var[lin]	VV[lin]	VV_var[lin]	VV[dB]	VH[dB]	VV_var[dB]	VH_var[dB]
2014-10-12 07:00:00	41.26892852783203	Budrio_half-right	95	DESCENDING	0.019403192360440018	4.37688382390477e-05	0.1658027404996691	0.004212492383259534	-7.80408295413925	-17.121268107674776	0.11033968386745362	0.009796617264533156
2014-10-12 07:00:00	41.26892852783203	Budrio_half-right	95	DESCENDING	0.019403192360440018	4.37688382390477e-05	0.1658027404996691	0.004212492383259534	-7.80408295413925	-17.121268107674776	0.11033968386745362	0.009796617264533156
2014-10-24 07:00:00	41.27150344848633	Budrio_half-right	95	DESCENDING	0.006721324803097625	7.95120302252857e-06	0.08177112965772039	0.0008519253600755151	-10.874000024836095	-21.725451171294047	0.045246590627148676	0.00513762345718685
2014-11-17 06:00:00	41.1076545715332	Budrio_half-right	95	DESCENDING	0.02258340760691746	4.698547801202696e-05	0.18079306466969258	0.003205620590403938	-7.42818233337716	-16.46210526838694	0.07700424438467159	0.009035631019633863
2014-11-29 06:00:00	41.10691833496094	Budrio_half-right	95	DESCENDING	0.020081657531615296	6.951277965100253e-05	0.190233116059984	0.004015628976859494	-7.207138781966579	-16.972004435626285	0.09167517949245883	0.015033129898096987
2014-12-23 06:00:00	41.10728454589844	Budrio_half-right	95	DESCENDING	0.015549165793927826	1.9519271596483978e-05	0.10591057852710185	0.0018287989992439497	-9.750606596611519	-18.082929057247398	0.0749913110595082	0.005451811407422449
2015-01-04 06:00:00	41.104305267333984	Budrio_half-right	95	DESCENDING	0.011396350518609582	1.881877823094459e-05	0.06794744835420768	0.0010593997172638442	-11.678268477835061	-19.432342015914873	0.06771283727081433	0.007171498918460268
2015-01-28 06:00:00	41.102664947509766	Budrio_half-right	95	DESCENDING	0.0068913484016416655	5.953485644291715e-06	0.05577787235208723	0.0004994079164225725	-12.535380559245981	-21.616957931725874	0.03888461376799136	0.0037519013881088647
2015-02-09 06:00:00	41.081932067871094	Budrio_half-right	95	DESCENDING	0.008638293934742075	1.5228977259087151e-05	0.08153316304868176	0.0012560732315908673	-10.886657090565393	-20.635720223231747	0.06690598683392042	0.007656443319266533
2015-02-21 06:00:00	41.081878662109375	Budrio_half-right	95	DESCENDING	0.01141579614303111	1.2461325727456031e-05	0.057606430640863786	0.0009588526490423729	-12.395290333136643	-19.424937952146408	0.0722878348484279	0.00474069870627194
2015-03-05 06:00:00	41.08088302612305	Budrio_half-right	95	DESCENDING	0.01925450646560179	5.007939803997069e-05	0.09688942944301689	0.0011477356032964065	-10.137236015352201	-17.154676087998965	0.05144578124373031	0.01129564461423656
2015-03-17 06:00:00	41.08292770385742	Budrio_half-right	95	DESCENDING	0.026125954944328553	9.292606950965831e-05	0.10465164364353434	0.0016553909286487884	-9.802539463055954	-15.829278264513063	0.06869716716095606	0.015447197738417372
2015-03-22 06:00:00	31.273954391479492	Budrio_half-right	168	DESCENDING	0.028967550265946197	8.4286615755052e-05	0.11719339730878249	0.001976237590073646	-9.310968558361703	-15.380882307529777	0.07323527604864868	0.012636626771905971
2015-03-29 07:00:00	41.082706451416016	Budrio_half-right	95	DESCENDING	0.014224724210759682	2.271968669441504e-05	0.05679063218724928	0.00032919788702711966	-12.457232967698648	-18.46956144961455	0.025174719893712984	0.006936538393125181
2015-03-30 19:00:00	37.32086944580078	Budrio_half-right	117	ASCENDING	0.014726007363679483	4.379448925508301e-05	0.06698211241490398	0.0003868914068240406	-11.740411602349404	-18.319149866920913	0.025085025990025395	0.012915724236403942
2015-04-03 07:00:00	31.273521423339844	Budrio_half-right	168	DESCENDING	0.01783857418070549	6.557024863157094e-05	0.049093309518626664	0.0005270029652394027	-13.089776898958565	-17.48639861293874	0.046620299587520314	0.015963606098359864
2015-04-10 07:00:00	41.08203125	Budrio_half-right	95	DESCENDING	0.009882565061405592	2.7184660789623038e-05	0.03453861031554945	0.0001849310873114674	-14.616951405505539	-20.05130317818139	0.02325355595317069	0.011946441131413911
2015-04-11 19:00:00	37.30653381347656	Budrio_half-right	117	ASCENDING	0.012252217293986083	1.5265393649995258e-05	0.03006094147849295	0.00010714336479723689	-15.219974218691569	-19.117853095521873	0.015479146631943707	0.005411001182233367
2015-04-15 07:00:00	31.278066635131836	Budrio_half-right	168	DESCENDING	0.012857671657907866	8.441284680405367e-06	0.030934325800487033	0.0001696689903701179	-15.095593447908655	-18.90837668866914	0.023820239931228126	0.0028512186766099282
2015-04-22 07:00:00	41.08441925048828	Budrio_half-right	95	DESCENDING	0.010615229725505562	1.7154246177450348e-05	0.02417772738593028	7.886824081920024e-05	-16.165845235800806	-19.740706027754335	0.014166774750354624	0.007018213122770475
2015-04-23 19:00:00	37.30908203125	Budrio_half-right	117	ASCENDING	0.014602158692900269	6.183192731345578e-05	0.021140848966731126	5.375908969312583e-05	-16.74877576434295	-18.355829360570993	0.011043679486385622	0.01838992809380517
2015-04-27 07:00:00	31.274438858032227	Budrio_half-right	168	DESCENDING	0.017455634047404526	3.9744683145009634e-05	0.05189005725417518	0.0009980530023472975	-12.849158501152747	-17.58064371525372	0.08353217061280624	0.009888438614143253
2015-05-05 19:00:00	37.29066467285156	Budrio_half-right	117	ASCENDING	0.01425465405872043	1.804152160707899e-05	0.030685209572036062	8.386772359569289e-05	-15.130709062510608	-18.460433179695215	0.011869982338523674	0.005496684273652609
