Date	Angle[°]	Geometry	Orb	Pass	VV[dB]	VH[dB]	VV_var[dB]	VH_var[dB]	VV_norm[dB]	VH_norm[dB]
2014-10-12 07:00:00	40.537200927734375	marradi2	95	DESCENDING	-11.58175502013983	-17.262594563666006	0.09860611315149038	0.01737399683188556	-11.58175502013983	-17.262594563666006
2014-10-13 19:00:00	37.229835510253906	marradi2	117	ASCENDING	-9.483153458521645	-15.369920433466525	0.08605571152526893	0.026949932132827686	-11.079219584402871	-16.561789896328772
2014-10-24 07:00:00	40.539798736572266	marradi2	95	DESCENDING	-11.854204540839069	-18.448072707805103	0.10881304440021597	0.012696821084416299	-11.854204540839069	-18.448072707805103
2014-10-25 19:00:00	37.23260498046875	marradi2	117	ASCENDING	-11.6393112093924	-17.50246990994419	0.05598331611823564	0.015109730620101893	-13.42585929772502	-18.91801946405824
2014-11-06 18:00:00	37.23507308959961	marradi2	117	ASCENDING	-10.570177006435033	-15.687741588548285	0.05584275236694378	0.02310003168543986	-12.262274314892673	-16.912946861788942
2014-11-17 06:00:00	40.3889274597168	marradi2	95	DESCENDING	-11.973088319722095	-16.80187508920397	0.08665833934620554	0.02742224038421395	-11.973088319722095	-16.80187508920397
2014-11-29 06:00:00	40.38827133178711	marradi2	95	DESCENDING	-11.841201208061529	-17.304047369042394	0.05373157863232572	0.010304020516132115	-11.841201208061529	-17.304047369042394
2014-11-30 18:00:00	37.233909606933594	marradi2	117	ASCENDING	-10.59238541904994	-16.56805228932486	0.060675943166885696	0.010506822232660423	-12.286444690641357	-17.885592103945015
2014-12-12 18:00:00	37.23295593261719	marradi2	117	ASCENDING	-11.280074135977358	-17.588297393407814	0.04030531678636752	0.011351891602119083	-13.034886057185028	-19.012849270583914
2014-12-23 06:00:00	40.388572692871094	marradi2	95	DESCENDING	-12.82783638245542	-18.44603706790023	0.10312442126357918	0.025509333905206776	-12.82783638245542	-18.44603706790023
2015-01-04 06:00:00	40.382450103759766	marradi2	95	DESCENDING	-11.903724005261203	-18.004298941026313	0.07287364132105888	0.02427122734092663	-11.903724005261203	-18.004298941026313
2015-01-05 18:00:00	37.236087799072266	marradi2	117	ASCENDING	-11.484063404132243	-17.322972841112065	0.05841820331931781	0.02523887438932108	-13.25689639828853	-18.71969520215104
2015-01-17 18:00:00	37.23429489135742	marradi2	117	ASCENDING	-11.666976097321644	-17.183502657592747	0.06345575806375355	0.025463235045778767	-13.455968191498286	-18.565596188810602
2015-01-28 06:00:00	40.383914947509766	marradi2	95	DESCENDING	-13.558206633021044	-20.799278362284586	0.13349253482788917	0.008684769095650507	-13.558206633021044	-20.799278362284586
2015-01-29 18:00:00	37.24302291870117	marradi2	117	ASCENDING	-10.38808218930072	-17.012895070646707	0.07127590442379998	0.015533463869758436	-12.064092651558928	-18.377093813941812
2015-02-09 06:00:00	40.35205841064453	marradi2	95	DESCENDING	-12.82635933110897	-19.543890233452707	0.12405643663894121	0.015895829403345912	-12.82635933110897	-19.543890233452707
2015-02-10 18:00:00	37.24235916137695	marradi2	117	ASCENDING	-12.592211699986866	-19.13119745421085	0.05195113486326318	0.014751482816316178	-14.462942105404602	-20.7175819313803
2015-02-21 06:00:00	40.35206985473633	marradi2	95	DESCENDING	-12.147046061757045	-19.313166200588498	0.14138596445427074	0.020880581363436373	-12.147046061757045	-19.313166200588498
2015-02-22 18:00:00	37.24335479736328	marradi2	117	ASCENDING	-11.12925285139374	-16.284544379853592	0.05940238955333644	0.02317830883936384	-12.870740731605187	-17.572347451781198
2015-03-05 06:00:00	40.351043701171875	marradi2	95	DESCENDING	-13.444523346747594	-19.523599095611864	0.13123267345432477	0.022839580512605966	-13.444523346747594	-19.523599095611864
2015-03-06 18:00:00	37.24169158935547	marradi2	117	ASCENDING	-11.281971167744123	-16.978595308937617	0.05226572099101057	0.017791604854871277	-13.036950678885146	-18.339196398854156
2015-03-17 06:00:00	40.353145599365234	marradi2	95	DESCENDING	-10.67573847108939	-17.428662503451434	0.12377029808107153	0.019567940757160965	-10.67573847108939	-17.428662503451434
2015-03-18 18:00:00	37.2431526184082	marradi2	117	ASCENDING	-10.256211552278083	-17.47522524004121	0.0823005455753627	0.01986265845229096	-11.92057213515263	-18.887917139354165
2015-03-29 07:00:00	40.34843444824219	marradi2	95	DESCENDING	-11.140968562074471	-17.95469331920816	0.08749191510509059	0.017517854827988597	-11.140968562074471	-17.95469331920816
2015-03-30 19:00:00	37.312198638916016	marradi2	117	ASCENDING	-10.275691362089244	-17.107629276693363	0.11236481859103309	0.027075520472432574	-11.941772854484217	-18.481764556555106
2015-04-10 07:00:00	40.3477783203125	marradi2	95	DESCENDING	-12.634734458053192	-18.4410498977774	0.058552312700666305	0.012586539228182965	-12.634734458053192	-18.4410498977774
