	Angle[°]	Date	Geometry	Orb	Pass	VH[lin]	VH_var[lin]	VV[lin]	VV_var[lin]	VV[dB]	VH[dB]	VV_var[dB]	VH_var[dB]	SWC[m3/m3]	Pioggia[mm]	Irrigazione[mm]	Temperatura[°C]	VV_norm[dB]	VH_norm[dB]
0	31.282550811767575	2017-04-04 07:00:00	Budrio_half-right	168	DESCENDING	0.0091359516410192	1.7757093244162682e-05	0.0703287293074441	0.0006296384181621	-11.528672293056411	-20.392462079263872	0.0388814774978702	0.0084411650954415	0.1701726782464168	0.0	0.0	8.7339	-12.343921803822255	-20.828487725853947
1	41.10330581665039	2017-04-05 07:00:00	Budrio_half-right	95	DESCENDING	0.0063422167951434	9.599562882766816e-06	0.0907082271598582	0.0015344435918894	-10.42353321009488	-21.97758916625346	0.0734663663500945	0.0065734700079336	0.1471054432916092	0.0	0.0	11.8548	-10.42353321009488	-21.97758916625346
2	37.5374755859375	2017-04-06 19:00:00	Budrio_half-right	117	ASCENDING	0.0059418471219106	6.792233841770019e-06	0.0625476395515468	0.000389609554267	-12.037890752444406	-22.260785263736096	0.0270522246287997	0.0049644994506837	0.1505272737214765	0.0	0.0	15.6591	-11.275126160862312	-21.874069483244558
3	31.368000030517575	2017-04-10 07:00:00	Budrio_half-right	168	DESCENDING	0.0066904990430331	8.808066400100868e-06	0.0662822323534687	0.0008305288643562	-11.78602873178669	-21.745414870823502	0.0544179171467528	0.005717502699271	0.1595502458125514	0.0	0.0	8.5507	-12.548263531474266	-22.05649724185522
4	41.30532455444336	2017-04-11 07:00:00	Budrio_half-right	95	DESCENDING	0.0050565053822578	6.941282325793391e-06	0.0561393568909593	0.0003996340719525	-12.507325667693989	-22.96149526150308	0.0309157214904768	0.0059617470634998	0.1606725067046718	0.0	0.0	10.5575	-12.507325667693989	-22.96149526150308
5	37.38969421386719	2017-04-12 19:00:00	Budrio_half-right	117	ASCENDING	0.0061619148910173	6.811313811681314e-06	0.0591029467013538	0.0006156674532939	-12.283908659167937	-22.102843044963222	0.0452398725572924	0.0048006440453061	0.1501953742178536	0.0	0.0	17.4437	-11.496353874901283	-21.73071043169856
6	31.279584884643555	2017-04-16 07:00:00	Budrio_half-right	168	DESCENDING	0.0066547269558771	7.252967845098369e-06	0.073430403406287	0.0013319054881423	-11.341240858921012	-21.768697589704537	0.0787738017339218	0.0047333631168233	0.1534105412264088	0.0	0.0	12.5296	-12.195100724169139	-22.07762983459804
7	41.10106658935547	2017-04-17 07:00:00	Budrio_half-right	95	DESCENDING	0.0170436906462145	5.713419079799204e-05	0.1733909821978917	0.0047024020796126	-7.609734932700466	-17.684363571200954	0.1177816313731547	0.0145585039687906	0.2369136550647521	0.0	0.0	10.322	-7.609734932700466	-17.684363571200954
8	37.5379638671875	2017-04-18 19:00:00	Budrio_half-right	117	ASCENDING	0.0319022520966437	6.965147389585355e-05	0.173107686974783	0.0019474404911064	-7.61683646528954	-14.96178657424907	0.0488576026809076	0.0094818543461324	0.2616118592134713	6.0	0.0	6.1434	-7.299562972738011	-15.249004079642383
9	31.36769294738769	2017-04-22 07:00:00	Budrio_half-right	168	DESCENDING	0.0060460494855049	2.694106365054485e-06	0.1215316825484603	0.0014950563532027	-9.153104894541626	-22.18528302544611	0.0534259635606927	0.001935206668104	0.1831625457536015	0.0	0.0	3.947	-10.457714686715502	-22.455744194913944
10	41.30533981323242	2017-04-23 07:00:00	Budrio_half-right	95	DESCENDING	0.0067704951030876	2.0923971729358704e-05	0.0820767996998123	0.0009484398099429	-10.857795857094546	-21.693795716875425	0.0501849703426644	0.0134217148424136	0.173368760016924	0.0	0.0	8.0833	-10.857795857094546	-21.693795716875425
11	37.38858413696289	2017-04-24 19:00:00	Budrio_half-right	117	ASCENDING	0.0057675001501348	1.4160416351163176e-05	0.0519811850764684	0.0001547387643324	-12.841538235979144	-22.39012385501671	0.0129281761058848	0.0106628357566995	0.1872357399012167	0.0	0.0	17.5006	-11.997793457903244	-21.99146594581387
12	31.279943466186523	2017-04-28 07:00:00	Budrio_half-right	168	DESCENDING	0.0259252303426837	8.73340909654548e-05	0.2928557126084209	0.0138822368179234	-5.333462999607032	-15.862773762653594	0.2058685757842695	0.0146300392656057	0.2713878164812009	0.0	0.0	11.1801	-7.424908405770101	-16.71710971472249
13	41.10187911987305	2017-04-29 07:00:00	Budrio_half-right	95	DESCENDING	0.00760567925941	1.1487431161998384e-05	0.105831273094892	0.0025308408373735	-9.753859795064288	-21.188619932559448	0.1038568447779329	0.0065594771942649	0.2078443872902135	0.0	0.0	7.5196	-9.753859795064288	-21.188619932559448
14	37.537147521972656	2017-04-30 19:00:00	Budrio_half-right	117	ASCENDING	0.0072249358594813	9.497895105018456e-06	0.0690596221953638	0.0002185145990238	-11.607758018759002	-21.411660040727234	0.0137417034085296	0.0057092319074255	0.18003657094249	0.0	0.0	16.1179	-10.88833609881414	-21.103345939152874
15	31.36579322814941	2017-05-04 07:00:00	Budrio_half-right	168	DESCENDING	0.019957000065668	6.0015693237166247e-05	0.2633627092033839	0.0095273471953849	-5.7944571887203065	-16.999047412472468	0.157109346522432	0.0130603218493435	0.2012646983357961	0.0	0.0	11.4876	-7.790939073219887	-17.74845010107149
16	41.30374526977539	2017-05-05 07:00:00	Budrio_half-right	95	DESCENDING	0.0235084621683198	0.0001552806263993	0.2332815923552788	0.007602774157401	-6.321195289041693	-16.28775779792845	0.1415389371437128	0.028686486895178	0.2644660638209883	0.0	0.0	9.4898	-6.321195289041693	-16.28775779792845
