Date	Angle[°]	Geometry	Orb	Pass	VV_norm[dB]	VH_norm[dB]
2014-10-12 07:00:00	41.26892852783203	Budrio_half-right	95	DESCENDING	-7.80408295413925	-17.121268107674776
2014-10-24 07:00:00	41.27150344848633	Budrio_half-right	95	DESCENDING	-10.874000024836095	-21.725451171294047
2014-11-17 06:00:00	41.1076545715332	Budrio_half-right	95	DESCENDING	-7.42818233337716	-16.46210526838694
2014-11-29 06:00:00	41.10691833496094	Budrio_half-right	95	DESCENDING	-7.207138781966579	-16.972004435626285
2014-12-23 06:00:00	41.10728454589844	Budrio_half-right	95	DESCENDING	-9.750606596611519	-18.082929057247398
2015-01-04 06:00:00	41.104305267333984	Budrio_half-right	95	DESCENDING	-11.678268477835061	-19.432342015914873
2015-01-28 06:00:00	41.102664947509766	Budrio_half-right	95	DESCENDING	-12.535380559245981	-21.616957931725874
2015-02-09 06:00:00	41.081932067871094	Budrio_half-right	95	DESCENDING	-10.886657090565393	-20.635720223231747
2015-02-21 06:00:00	41.081878662109375	Budrio_half-right	95	DESCENDING	-12.395290333136643	-19.424937952146408
2015-03-05 06:00:00	41.08088302612305	Budrio_half-right	95	DESCENDING	-10.137236015352201	-17.154676087998965
2015-03-17 06:00:00	41.08292770385742	Budrio_half-right	95	DESCENDING	-9.802539463055954	-15.829278264513063
2015-03-22 06:00:00	31.273954391479492	Budrio_half-right	168	DESCENDING	-10.876745484734904	-16.37963081561594
2015-03-29 07:00:00	41.082706451416016	Budrio_half-right	95	DESCENDING	-12.457232967698648	-18.46956144961455
2015-03-30 19:00:00	37.32086944580078	Budrio_half-right	117	ASCENDING	-11.122016194116036	-18.677730251206583
2015-04-03 07:00:00	31.273521423339844	Budrio_half-right	168	DESCENDING	-14.31126876820456	-18.40568704905876
2015-04-10 07:00:00	41.08203125	Budrio_half-right	95	DESCENDING	-14.616951405505539	-20.05130317818139
2015-04-11 19:00:00	37.30653381347656	Budrio_half-right	117	ASCENDING	-14.31136937792597	-19.47354876407602
2015-04-15 07:00:00	31.278066635131836	Budrio_half-right	168	DESCENDING	-16.134336523646667	-19.774001099513484
2015-04-22 07:00:00	41.08441925048828	Budrio_half-right	95	DESCENDING	-16.165845235800806	-19.740706027754335
2015-04-23 19:00:00	37.30908203125	Budrio_half-right	117	ASCENDING	-15.712662762944136	-18.714277267725524
2015-04-27 07:00:00	31.274438858032227	Budrio_half-right	168	DESCENDING	-14.092572974396527	-18.49637543581036
2015-05-05 19:00:00	37.29066467285156	Budrio_half-right	117	ASCENDING	-14.229549292627915	-18.818503284091726
2015-05-09 07:00:00	31.273265838623047	Budrio_half-right	168	DESCENDING	-15.310189684716157	-20.102485659873757
2015-05-16 07:00:00	41.1126708984375	Budrio_half-right	95	DESCENDING	-12.531513178909268	-19.70820369781932
2015-05-17 19:00:00	37.257835388183594	Budrio_half-right	117	ASCENDING	-12.888220357024869	-18.170501814701968
2015-05-21 07:00:00	31.119691848754883	Budrio_half-right	168	DESCENDING	-12.859232589728215	-18.689580437382045
2015-05-29 19:00:00	37.335792541503906	Budrio_half-right	117	ASCENDING	-11.26868864802712	-16.789413396285543
2015-06-02 07:00:00	31.294401168823242	Budrio_half-right	168	DESCENDING	-12.46678238653166	-17.734712645853314
