Field name;Date;Parameter name;Parameter value
Budrio_campo_safe_half;09/03/2020;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;14/03/2020;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;19/03/2020;TERRASCOPE_S2_LAI_V2;0.143225806
Budrio_campo_safe_half;24/03/2020;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;29/03/2020;TERRASCOPE_S2_LAI_V2;0.183225806
Budrio_campo_safe_half;03/04/2020;TERRASCOPE_S2_LAI_V2;0.157419355
Budrio_campo_safe_half;08/04/2020;TERRASCOPE_S2_LAI_V2;0.130322581
Budrio_campo_safe_half;23/04/2020;TERRASCOPE_S2_LAI_V2;0.174193548
Budrio_campo_safe_half;03/05/2020;TERRASCOPE_S2_LAI_V2;0.6128
Budrio_campo_safe_half;08/05/2020;TERRASCOPE_S2_LAI_V2;0.174193548
Budrio_campo_safe_half;23/05/2020;TERRASCOPE_S2_LAI_V2;0.624516129
Budrio_campo_safe_half;02/06/2020;TERRASCOPE_S2_LAI_V2;1.841290323
Budrio_campo_safe_half;07/06/2020;TERRASCOPE_S2_LAI_V2;1.9952
Budrio_campo_safe_half;12/06/2020;TERRASCOPE_S2_LAI_V2;3.31483871
Budrio_campo_safe_half;17/06/2020;TERRASCOPE_S2_LAI_V2;3.71483871
Budrio_campo_safe_half;22/06/2020;TERRASCOPE_S2_LAI_V2;3.71483871
Budrio_campo_safe_half;27/06/2020;TERRASCOPE_S2_LAI_V2;3.56
Budrio_campo_safe_half;02/07/2020;TERRASCOPE_S2_LAI_V2;3.233548387
Budrio_campo_safe_half;07/07/2020;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;12/07/2020;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;22/07/2020;TERRASCOPE_S2_LAI_V2;2.637419355
Budrio_campo_safe_half;27/07/2020;TERRASCOPE_S2_LAI_V2;3.495483871
Budrio_campo_safe_half;01/08/2020;TERRASCOPE_S2_LAI_V2;2.770322581
Budrio_campo_safe_half;06/08/2020;TERRASCOPE_S2_LAI_V2;3.442580645
Budrio_campo_safe_half;11/08/2020;TERRASCOPE_S2_LAI_V2;2.748387097
Budrio_campo_safe_half;16/08/2020;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;21/08/2020;TERRASCOPE_S2_LAI_V2;2.64516129
Budrio_campo_safe_half;26/08/2020;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;05/09/2020;TERRASCOPE_S2_LAI_V2;0.877419355
Budrio_campo_safe_half;10/09/2020;TERRASCOPE_S2_LAI_V2;0.228387097
Budrio_campo_safe_half;15/09/2020;TERRASCOPE_S2_LAI_V2;0.117419355
Budrio_campo_safe_half;20/09/2020;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;25/09/2020;TERRASCOPE_S2_LAI_V2;0.117419355
Budrio_campo_safe_half;30/09/2020;TERRASCOPE_S2_LAI_V2;0.16
Budrio_campo_safe_half;10/10/2020;TERRASCOPE_S2_LAI_V2;0.108387097
Budrio_campo_safe_half;15/10/2020;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;20/10/2020;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;25/10/2020;TERRASCOPE_S2_LAI_V2;0.139354839
Budrio_campo_safe_half;09/11/2020;TERRASCOPE_S2_LAI_V2;0.117419355
