Date	Angle[°]	Geometry	Orb	Pass	VH[lin]	VH_var[lin]	VV[lin]	VV_var[lin]	VV[dB]	VH[dB]	VV_var[dB]	VH_var[dB]	VV_norm[dB]	VH_norm[dB]
2014-10-12 07:00:00	41.26892852783203	Budrio_half-right	95	DESCENDING	0.01940319236044	4.37688382390477e-05	0.1658027404996691	0.0042124923832595	-7.80408295413925	-17.121268107674776	0.1103396838674536	0.0097966172645331	-7.80408295413925	-17.121268107674776
2014-10-12 07:00:00	41.26892852783203	Budrio_half-right	95	DESCENDING	0.01940319236044	4.37688382390477e-05	0.1658027404996691	0.0042124923832595	-7.80408295413925	-17.121268107674776	0.1103396838674536	0.0097966172645331	-7.80408295413925	-17.121268107674776
2014-10-24 07:00:00	41.27150344848633	Budrio_half-right	95	DESCENDING	0.0067213248030976	7.95120302252857e-06	0.0817711296577203	0.0008519253600755	-10.874000024836096	-21.725451171294047	0.0452465906271486	0.0051376234571868	-10.874000024836096	-21.725451171294047
2014-11-17 06:00:00	41.1076545715332	Budrio_half-right	95	DESCENDING	0.0225834076069174	4.698547801202696e-05	0.1807930646696925	0.0032056205904039	-7.42818233337716	-16.46210526838694	0.0770042443846715	0.0090356310196338	-7.42818233337716	-16.46210526838694
2014-11-29 06:00:00	41.10691833496094	Budrio_half-right	95	DESCENDING	0.0200816575316152	6.951277965100253e-05	0.190233116059984	0.0040156289768594	-7.207138781966579	-16.972004435626285	0.0916751794924588	0.0150331298980969	-7.207138781966579	-16.972004435626285
2014-12-23 06:00:00	41.10728454589844	Budrio_half-right	95	DESCENDING	0.0155491657939278	1.9519271596483975e-05	0.1059105785271018	0.0018287989992439	-9.75060659661152	-18.0829290572474	0.0749913110595082	0.0054518114074224	-9.75060659661152	-18.0829290572474
2015-01-04 06:00:00	41.104305267333984	Budrio_half-right	95	DESCENDING	0.0113963505186095	1.881877823094459e-05	0.0679474483542076	0.0010593997172638	-11.67826847783506	-19.432342015914877	0.0677128372708143	0.0071714989184602	-11.67826847783506	-19.432342015914877
2015-01-28 06:00:00	41.102664947509766	Budrio_half-right	95	DESCENDING	0.0068913484016416	5.953485644291715e-06	0.0557778723520872	0.0004994079164225	-12.53538055924598	-21.616957931725874	0.0388846137679913	0.0037519013881088	-12.53538055924598	-21.616957931725874
2015-02-09 06:00:00	41.08193206787109	Budrio_half-right	95	DESCENDING	0.008638293934742	1.5228977259087151e-05	0.0815331630486817	0.0012560732315908	-10.886657090565391	-20.635720223231747	0.0669059868339204	0.0076564433192665	-10.886657090565391	-20.635720223231747
2015-02-21 06:00:00	41.081878662109375	Budrio_half-right	95	DESCENDING	0.0114157961430311	1.2461325727456033e-05	0.0576064306408637	0.0009588526490423	-12.395290333136645	-19.424937952146408	0.0722878348484279	0.0047406987062719	-12.395290333136645	-19.424937952146408
2015-03-05 06:00:00	41.08088302612305	Budrio_half-right	95	DESCENDING	0.0192545064656017	5.007939803997069e-05	0.0968894294430168	0.0011477356032964	-10.1372360153522	-17.154676087998965	0.0514457812437303	0.0112956446142365	-10.1372360153522	-17.154676087998965
2015-03-17 06:00:00	41.08292770385742	Budrio_half-right	95	DESCENDING	0.0261259549443285	9.292606950965832e-05	0.1046516436435343	0.0016553909286487	-9.802539463055954	-15.829278264513064	0.068697167160956	0.0154471977384173	-9.802539463055954	-15.829278264513064
2015-03-22 06:00:00	31.27395439147949	Budrio_half-right	168	DESCENDING	0.0289675502659461	8.4286615755052e-05	0.1171933973087824	0.0019762375900736	-9.310968558361704	-15.380882307529776	0.0732352760486486	0.0126366267719059	-10.876745484734904	-16.37963081561594
2015-03-29 07:00:00	41.082706451416016	Budrio_half-right	95	DESCENDING	0.0142247242107596	2.271968669441504e-05	0.0567906321872492	0.0003291978870271	-12.457232967698648	-18.46956144961455	0.0251747198937129	0.0069365383931251	-12.457232967698648	-18.46956144961455
2015-03-30 19:00:00	37.32086944580078	Budrio_half-right	117	ASCENDING	0.0147260073636794	4.379448925508301e-05	0.0669821124149039	0.000386891406824	-11.740411602349404	-18.319149866920917	0.0250850259900253	0.0129157242364039	-11.122016194116036	-18.677730251206587
2015-04-03 07:00:00	31.273521423339844	Budrio_half-right	168	DESCENDING	0.0178385741807054	6.557024863157094e-05	0.0490933095186266	0.0005270029652394	-13.089776898958563	-17.48639861293874	0.0466202995875203	0.0159636060983598	-14.311268768204558	-18.40568704905876
2015-04-10 07:00:00	41.08203125	Budrio_half-right	95	DESCENDING	0.0098825650614055	2.718466078962304e-05	0.0345386103155494	0.0001849310873114	-14.61695140550554	-20.05130317818139	0.0232535559531706	0.0119464411314139	-14.61695140550554	-20.05130317818139
2015-04-11 19:00:00	37.30653381347656	Budrio_half-right	117	ASCENDING	0.012252217293986	1.5265393649995258e-05	0.0300609414784929	0.0001071433647972	-15.219974218691569	-19.117853095521877	0.0154791466319437	0.0054110011822333	-14.31136937792597	-19.473548764076025
2015-04-15 07:00:00	31.27806663513184	Budrio_half-right	168	DESCENDING	0.0128576716579078	8.441284680405367e-06	0.030934325800487	0.0001696689903701	-15.095593447908657	-18.90837668866914	0.0238202399312281	0.0028512186766099	-16.134336523646667	-19.774001099513484
2015-04-22 07:00:00	41.08441925048828	Budrio_half-right	95	DESCENDING	0.0106152297255055	1.7154246177450348e-05	0.0241777273859302	7.886824081920024e-05	-16.165845235800806	-19.74070602775433	0.0141667747503546	0.0070182131227704	-16.165845235800806	-19.74070602775433
