Date	Angle[°]	Geometry	Orb	Pass	VV[dB]	VH[dB]	VV_var[dB]	VH_var[dB]	VV_norm[dB]	VH_norm[dB]
2014-10-12 07:00:00	40.537200927734375	marradi1	95	DESCENDING	-11.592726105486914	-17.76345558834621	0.14578360376423494	0.013619874696313363	-11.592726105486914	-17.76345558834621
2014-10-13 19:00:00	37.229835510253906	marradi1	117	ASCENDING	-7.357244068800743	-14.59695504833295	0.2323113707394271	0.01615045320112399	-11.488184122242199	-17.370556938360767
2014-10-24 07:00:00	40.539798736572266	marradi1	95	DESCENDING	-13.163900507785048	-18.248037752411502	0.03899637368629935	0.015188054841311248	-13.163900507785048	-18.248037752411502
2014-10-25 19:00:00	37.23260498046875	marradi1	117	ASCENDING	-11.133971794877153	-17.175754083466675	0.051251693418495455	0.009915309698864378	-14.884534008833015	-19.74688594969997
2014-11-06 18:00:00	37.23507308959961	marradi1	117	ASCENDING	-9.11415189807968	-15.32453028868321	0.13651878004478027	0.036101280537423744	-13.068142790038763	-18.04100784516699
2014-11-17 06:00:00	40.3889274597168	marradi1	95	DESCENDING	-12.142869557364936	-17.830348468101725	0.04834986570049485	0.016271500108060458	-12.142869557364936	-17.830348468101725
2014-11-29 06:00:00	40.38827133178711	marradi1	95	DESCENDING	-11.895994516346576	-18.113347358226054	0.12245940165599234	0.017517772440787272	-11.895994516346576	-18.113347358226054
2014-11-30 18:00:00	37.233909606933594	marradi1	117	ASCENDING	-10.335925420674082	-16.12286188653492	0.060377330033711055	0.02882061606815027	-14.166863869732293	-18.77665979430983
2014-12-12 18:00:00	37.23295593261719	marradi1	117	ASCENDING	-10.360987238151132	-15.813863764826886	0.08393778339733572	0.030921361390534294	-14.189401555030134	-18.491922135011748
2014-12-23 06:00:00	40.388572692871094	marradi1	95	DESCENDING	-13.027591776828933	-18.076532113945795	0.06689736472710196	0.022893387947716358	-13.027591776828933	-18.076532113945795
2015-01-04 06:00:00	40.382450103759766	marradi1	95	DESCENDING	-12.005047498008441	-18.928915441951414	0.057141819995794284	0.02288884773179841	-12.005047498008441	-18.928915441951414
2015-01-05 18:00:00	37.236087799072266	marradi1	117	ASCENDING	-10.447030859653964	-16.76283447225491	0.09107583495361465	0.02785607828325353	-14.266779185965843	-19.366386020040835
2015-01-17 18:00:00	37.23429489135742	marradi1	117	ASCENDING	-10.33730707957515	-15.921508645101214	0.11669613150236259	0.016275047437998933	-14.168106373135316	-18.591115460444634
2015-01-28 06:00:00	40.383914947509766	marradi1	95	DESCENDING	-14.259661864778671	-20.73957925972121	0.045397756428887985	0.01174995465484122	-14.259661864778671	-20.73957925972121
2015-01-29 18:00:00	37.24302291870117	marradi1	117	ASCENDING	-8.573053392246571	-15.868577545195159	0.11448648185054881	0.0184393692995168	-12.58154169453698	-18.54234015589581
2015-02-09 06:00:00	40.35205841064453	marradi1	95	DESCENDING	-14.013478312369616	-20.395369154478324	0.08221804469371222	0.024767431205448054	-14.013478312369616	-20.395369154478324
2015-02-10 18:00:00	37.24235916137695	marradi1	117	ASCENDING	-11.112595351942216	-19.290171827757547	0.1564247351490013	0.020604096496928466	-14.86531052098757	-21.69529377807045
2015-02-21 06:00:00	40.35206985473633	marradi1	95	DESCENDING	-13.35742346378792	-19.744108846334477	0.04239597305702115	0.008442355980483212	-13.35742346378792	-19.744108846334477
2015-02-22 18:00:00	37.24335479736328	marradi1	117	ASCENDING	-8.942184704248824	-16.222022765068864	0.23264328663094133	0.021879132806529127	-12.913495486439905	-18.868035224981135
2015-03-05 06:00:00	40.351043701171875	marradi1	95	DESCENDING	-13.839673089614575	-20.098060669311415	0.08883062192024799	0.013453714293589283	-13.839673089614575	-20.098060669311415
2015-03-06 18:00:00	37.24169158935547	marradi1	117	ASCENDING	-9.449720448435006	-16.76533552530395	0.16880540484913997	0.025523470732901257	-13.369914135659906	-19.36869070716006
2015-03-17 06:00:00	40.353145599365234	marradi1	95	DESCENDING	-11.841127715945172	-19.153086014913004	0.057689518784118154	0.012273774227826464	-11.841127715945172	-19.153086014913004
2015-03-18 18:00:00	37.2431526184082	marradi1	117	ASCENDING	-9.498836263483636	-16.381402457735604	0.09594060513042686	0.019631956558574033	-13.41408319018784	-19.01490149193034
2015-03-29 07:00:00	40.34843444824219	marradi1	95	DESCENDING	-11.676455583629977	-18.48314898704542	0.0914178699666229	0.03369549077890586	-11.676455583629977	-18.48314898704542
2015-03-30 19:00:00	37.312198638916016	marradi1	117	ASCENDING	-8.119106592248103	-16.57571579294383	0.12747411752800902	0.01666820220741058	-12.173314712208345	-19.19395864584363
2015-04-10 07:00:00	40.3477783203125	marradi1	95	DESCENDING	-13.20986141609776	-19.04078419685266	0.04111536548656813	0.016415331507680795	-13.20986141609776	-19.04078419685266
2015-04-11 19:00:00	37.30074691772461	marradi1	117	ASCENDING	-8.280725266676317	-16.058140564104136	0.1559747791209865	0.008179905529226485	-12.318655760432513	-18.71701995652133
2015-04-22 07:00:00	40.35018539428711	marradi1	95	DESCENDING	-13.595597982031585	-18.683828437278724	0.04511716550471813	0.014099980141172804	-13.595597982031585	-18.683828437278724
2015-04-23 19:00:00	37.30326843261719	marradi1	117	ASCENDING	-8.787440619375204	-16.330536437350663	0.07872968304387988	0.013036947843469905	-12.774336644916234	-18.96802913069346
2015-05-04 07:00:00	40.389564514160156	marradi1	95	DESCENDING	-12.499697896391055	-19.551036350635965	0.03520310296850339	0.010523669607062917	-12.499697896391055	-19.551036350635965
