	Angle[°]	Date	Geometry	Orb	Pass	VH[dB]	VH_dev[dB]	VV[dB]	VV_dev[dB]	SWC[m3/m3]	Pioggia[mm]	Irrigazione[mm]	Temperatura[°C]
0	31.383727539869792	2017-04-04 07:00:00	Budrio_half-right	168	DESCENDING	-20.83001828641299	1.9044757920543158	-11.914824013944475	1.816202533429887	0.17017267824641688	0.0	0.0	8.7339
1	41.39099762341613	2017-04-05 07:00:00	Budrio_half-right	95	DESCENDING	-22.619970875206043	2.6320169469524584	-10.937960859210357	2.0276435550938934	0.14710544329160924	0.0	0.0	11.8548
2	37.171040352892355	2017-04-06 19:00:00	Budrio_half-right	117	ASCENDING	-22.724337018843	2.135878835078774	-12.24735294911051	1.3374398812024793	0.1505272737214765	0.0	0.0	15.6591
3	31.418842103907906	2017-04-10 07:00:00	Budrio_half-right	168	DESCENDING	-22.204780898540417	2.1117935607089957	-12.161257857701205	1.7368755331207038	0.15955024581255145	0.0	0.0	8.5507
4	41.40798496318999	2017-04-11 07:00:00	Budrio_half-right	95	DESCENDING	-23.842130732616486	2.747527518802133	-12.83344912164239	1.6179869640517994	0.1606725067046718	0.0	0.0	10.5575
5	37.1977280196605	2017-04-12 19:00:00	Budrio_half-right	117	ASCENDING	-22.61290762206518	2.3416212131526044	-12.721275695373736	2.057537608146649	0.1501953742178536	0.0	0.0	17.4437
6	31.38079757603136	2017-04-16 07:00:00	Budrio_half-right	168	DESCENDING	-22.121620985858282	1.727341302224949	-11.811802930129552	2.001071475914675	0.1534105412264088	0.0	0.0	12.5296
7	41.391668630600556	2017-04-17 07:00:00	Budrio_half-right	95	DESCENDING	-18.006717772297804	1.7101315071586112	-7.955719288555333	1.6538429647272541	0.23691365506475218	0.0	0.0	10.322
8	37.17351268371931	2017-04-18 19:00:00	Budrio_half-right	117	ASCENDING	-15.149038443797817	1.3128507750551934	-7.788130247648175	1.2051584637069244	0.26161185921347135	6.0	0.0	6.1434
9	31.420567248880875	2017-04-22 07:00:00	Budrio_half-right	168	DESCENDING	-22.36277646913176	1.320840345439013	-9.425847924073015	1.5187419124366863	0.18316254575360152	0.0	0.0	3.947
10	41.40964493409891	2017-04-23 07:00:00	Budrio_half-right	95	DESCENDING	-23.026660393243358	3.9437555846384753	-11.182863644362806	1.7018190771869557	0.17336876001692406	0.0	0.0	8.0833
11	37.19404216834736	2017-04-24 19:00:00	Budrio_half-right	117	ASCENDING	-23.313733671831134	2.989226698796728	-12.958737735377058	1.0721595135570772	0.18723573990121675	0.0	0.0	17.5006
12	31.377955525653082	2017-04-28 07:00:00	Budrio_half-right	168	DESCENDING	-16.189132173250595	1.6702275437615637	-5.795674680997386	1.9170924041479465	0.2713878164812009	0.0	0.0	11.1801
13	41.38772019443206	2017-04-29 07:00:00	Budrio_half-right	95	DESCENDING	-21.59826158972068	1.946773254288094	-10.345768305509159	2.4373161492037276	0.20784438729021354	0.0	0.0	7.5196
14	37.16851089675403	2017-04-30 19:00:00	Budrio_half-right	117	ASCENDING	-21.85849322391198	2.0280528019983186	-11.714628953752092	1.0004541379572385	0.18003657094249007	0.0	0.0	16.1179
15	31.42442525497015	2017-05-04 07:00:00	Budrio_half-right	168	DESCENDING	-17.37311961273455	1.7434186554068694	-6.13024151602816	1.7309022283520414	0.20126469833579616	0.0	0.0	11.4876
16	41.41277467092485	2017-05-05 07:00:00	Budrio_half-right	95	DESCENDING	-16.88269363742422	2.272839325073517	-6.723327187938448	1.9705061255075045	0.2644660638209883	0.0	0.0	9.4898
17	37.201205523519185	2017-05-06 19:00:00	Budrio_half-right	117	ASCENDING	-14.60927167672592	1.9366231942260392	-5.813568360034819	1.43720080929658	0.2510701898506981	6.0	0.0	13.6863
18	31.37217247133692	2017-05-10 07:00:00	Budrio_half-right	168	DESCENDING	-15.223373761312985	1.9653598738120088	-6.139439225951973	1.81342127094729	0.3214425811442417	0.0	0.0	10.2424
19	41.37797792401389	2017-05-11 07:00:00	Budrio_half-right	95	DESCENDING	-18.55758791123285	1.341874816720575	-7.976025770919464	1.6621506932324548	0.29241390869338535	0.0	0.0	13.0038
20	37.166929422689364	2017-05-12 19:00:00	Budrio_half-right	117	ASCENDING	-16.04028375444574	1.3383150241627029	-7.049157684771801	1.5902855533404223	0.25993047596524177	5.0	0.0	17.5478
21	31.38059061182471	2017-05-16 07:00:00	Budrio_half-right	168	DESCENDING	-17.000643311898525	1.4717202350672585	-7.03916000839064	1.6289002968228223	0.27493905848081385	0.0	0.0	15.4188
22	41.41376446087851	2017-05-17 07:00:00	Budrio_half-right	95	DESCENDING	-22.109287827956912	3.0342024069842513	-11.73018939202258	2.0135606642309423	0.25747997493060965	0.0	0.0	15.6164
23	37.20010369393855	2017-05-18 19:00:00	Budrio_half-right	117	ASCENDING	-22.499210374505527	1.30043850581776	-13.045274915334133	1.891395371745023	0.21642951413845998	0.0	0.0	21.7876
24	31.376160585701705	2017-05-22 07:00:00	Budrio_half-right	168	DESCENDING	-20.874333246641385	2.353009174792863	-10.254558856526032	1.4944100075746642	0.16597188620679332	0.0	0.0	15.7527
25	41.37746663918944	2017-05-23 07:00:00	Budrio_half-right	95	DESCENDING	-21.05430946170239	1.998399099275786	-12.178568155497965	1.5906941259051788	0.16405015050080535	0.0	0.0	17.7367
26	37.16092263533814	2017-05-24 19:00:00	Budrio_half-right	117	ASCENDING	-20.484862443058816	1.650434938786915	-10.521464559365484	1.577039549517439	0.3005551679879181	0.0	0.0	27.1429
