2017-05-30 17:05,       0.344
2017-05-31 05:00,         NaN
2017-05-31 16:56,         NaN
2017-06-01 16:49,         NaN
2017-06-03 05:25,       0.357
2017-06-04 05:16,       0.464
2017-06-04 17:13,         NaN
2017-06-05 05:08,         NaN
2017-06-05 17:04,       0.340
2017-06-06 04:59,         NaN
2017-06-06 16:57,         NaN
2017-06-07 16:48,         NaN
2017-06-09 05:24,       0.482
2017-06-10 05:16,       0.530
2017-06-10 17:12,         NaN
2017-06-11 05:07,         NaN
2017-06-11 17:05,       0.323
2017-06-12 05:00,         NaN
2017-06-12 16:56,         NaN
2017-06-13 16:49,         NaN
2017-06-15 05:25,       0.988
2017-06-16 05:16,       0.973
2017-06-16 17:13,         NaN
2017-06-17 05:08,         NaN
2017-06-17 17:04,       0.424
2017-06-18 04:59,         NaN
2017-06-18 16:57,         NaN
2017-06-19 16:48,         NaN
2017-06-21 05:24,       0.455
2017-06-22 05:16,       0.464
2017-06-22 17:12,         NaN
2017-06-23 05:07,         NaN
2017-06-23 17:05,       0.357
2017-06-24 05:00,         NaN
2017-06-24 16:56,         NaN
2017-06-25 16:49,         NaN
2017-06-27 05:25,       0.419
2017-06-28 05:16,       0.535
2017-06-28 17:13,         NaN
2017-06-29 05:08,         NaN
2017-06-29 17:04,       0.592
2017-06-30 04:59,         NaN
2017-06-30 16:57,         NaN
2017-07-01 16:48,         NaN
2017-07-03 05:24,       0.381
2017-07-04 05:16,       0.404
2017-07-04 17:12,         NaN
2017-07-05 05:07,         NaN
2017-07-05 17:05,       0.320
2017-07-06 05:00,         NaN
2017-07-06 16:56,         NaN
2017-07-07 16:49,         NaN
2017-07-09 05:25,       0.272
2017-07-10 05:16,       0.301
2017-07-10 17:13,         NaN
2017-07-11 05:08,         NaN
2017-07-11 17:04,       0.824
2017-07-12 04:59,         NaN
2017-07-12 16:57,         NaN
2017-07-13 16:48,         NaN
2017-07-15 05:24,       0.369
2017-07-16 05:16,       0.275
2017-07-16 17:12,         NaN
2017-07-17 05:07,         NaN
2017-07-17 17:05,       0.231
2017-07-18 16:56,         NaN
2017-07-19 16:49,         NaN
2017-07-21 05:25,       0.160
2017-07-22 05:16,       0.124
2017-07-22 17:13,         NaN
2017-07-23 05:08,         NaN
2017-07-23 17:04,       0.161
2017-07-24 04:59,         NaN
2017-07-24 16:57,         NaN
2017-07-25 16:48,         NaN
2017-07-27 05:24,       0.101
2017-07-28 05:16,       0.107
2017-07-28 17:12,         NaN
2017-07-29 05:07,         NaN
2017-07-29 17:05,       0.172
2017-07-30 05:00,         NaN
2017-07-30 16:56,         NaN
2017-07-31 16:49,         NaN
2017-08-02 05:25,       0.126
2017-08-03 05:16,       0.127
2017-08-03 17:13,         NaN
2017-08-04 05:08,         NaN
2017-08-04 17:04,       0.146
2017-08-05 04:59,         NaN
2017-08-05 16:57,         NaN
2017-08-06 16:48,         NaN
2017-08-08 05:24,       0.318
2017-08-09 05:16,       0.238
2017-08-09 17:12,         NaN
2017-08-10 05:07,         NaN
2017-08-10 17:05,       0.674
2017-08-11 05:00,         NaN
2017-08-11 16:56,         NaN
2017-08-12 16:49,         NaN
2017-08-14 05:25,       0.143
2017-08-15 05:16,       0.132
2017-08-15 17:13,         NaN
2017-08-16 05:08,         NaN
2017-08-16 17:04,       0.160
2017-08-17 04:59,         NaN
2017-08-17 16:57,         NaN
2017-08-18 16:48,         NaN
2017-08-20 05:24,       0.139
2017-08-21 05:16,       0.113
2017-08-21 17:12,         NaN
2017-08-22 05:07,         NaN
2017-08-22 17:05,       0.156
2017-08-23 05:00,         NaN
2017-08-23 16:56,         NaN
2017-08-24 16:49,         NaN
2017-08-26 05:25,       0.173
2017-08-27 05:16,       0.203
2017-08-27 17:13,         NaN
2017-08-28 05:08,         NaN
2017-08-28 17:04,       0.201
2017-08-29 04:59,         NaN
2017-08-29 16:57,         NaN
2017-08-30 16:48,         NaN
2017-09-01 05:24,       0.789
2017-09-02 05:16,       0.458
2017-09-02 17:13,         NaN
2017-09-03 05:07,         NaN
2017-09-03 17:05,         NaN
2017-09-04 05:00,         NaN
2017-09-04 16:56,         NaN
2017-09-05 16:49,         NaN
2017-09-07 05:25,       0.272
2017-09-08 05:16,       0.848
2017-09-08 17:13,         NaN
2017-09-09 05:08,         NaN
2017-09-09 17:04,       0.314
2017-09-10 04:59,         NaN
2017-09-10 16:57,         NaN
2017-09-11 16:48,         NaN
2017-09-13 05:24,       0.936
2017-09-14 05:16,       0.874
2017-09-14 17:13,         NaN
2017-09-15 05:07,         NaN
2017-09-15 17:05,       0.438
2017-09-16 05:00,         NaN
2017-09-16 16:56,         NaN
2017-09-17 16:49,         NaN
2017-09-19 05:25,         NaN
2017-09-20 05:16,         NaN
2017-09-20 17:13,         NaN
2017-09-21 05:08,         NaN
2017-09-21 17:04,       0.455
2017-09-22 04:59,         NaN
2017-09-22 16:57,         NaN
2017-09-23 16:48,         NaN
2017-09-25 05:24,       0.962
2017-09-26 05:16,       0.899
2017-09-26 17:13,         NaN
2017-09-27 05:07,         NaN
2017-09-27 17:05,       0.361
2017-09-28 05:00,         NaN
2017-09-28 16:56,         NaN
2017-09-29 16:49,         NaN
2017-10-01 05:25,       0.302
2017-10-02 05:16,       0.561
2017-10-02 17:13,         NaN
2017-10-03 05:08,         NaN
2017-10-03 17:04,       0.305
2017-10-04 04:59,         NaN
