Date	Angle[°]	Geometry	Orb	Pass	VV_norm[dB]	VH_norm[dB]	CR
2014-10-12 07:00:00	41.30544662475586	sanlorenzo2_clip	95	DESCENDING	-9.46037372465359	-15.527749994496535	0.2473217854192072
2014-10-13 19:00:00	35.611549377441406	sanlorenzo2_clip	117	ASCENDING	-8.576747655195009	-13.89008577043209	0.29421593341984936
2014-10-18 19:00:00	45.17488098144531	sanlorenzo2_clip	15	ASCENDING	-9.643344998812685	-15.761448422308355	0.24444978388766497
2014-10-24 07:00:00	41.307315826416016	sanlorenzo2_clip	95	DESCENDING	-11.119084645143392	-17.309559590086145	0.2404099872992909
2014-10-25 19:00:00	35.614376068115234	sanlorenzo2_clip	117	ASCENDING	-11.128055422414198	-16.466955600513593	0.29248929937653656
2014-10-30 18:00:00	45.178680419921875	sanlorenzo2_clip	15	ASCENDING	-11.182321931643664	-17.00249791241098	0.2618076918793711
2014-11-06 18:00:00	35.61689376831055	sanlorenzo2_clip	117	ASCENDING	-8.996033399177557	-13.19238959241505	0.3805085157371182
2014-11-11 18:00:00	45.17926788330078	sanlorenzo2_clip	15	ASCENDING	-9.246623613221528	-15.276004768947406	0.249495021745029
2014-11-17 06:00:00	41.871559143066406	sanlorenzo2_clip	95	DESCENDING	-9.810858848513924	-15.53338351821064	0.26776113054016687
2014-11-29 06:00:00	41.871002197265625	sanlorenzo2_clip	95	DESCENDING	-9.457995270686416	-15.251285619496866	0.26343347763783137
2014-11-30 18:00:00	35.61570739746094	sanlorenzo2_clip	117	ASCENDING	-9.808574341398149	-14.88832620225302	0.3104736975777174
2014-12-05 18:00:00	45.177467346191406	sanlorenzo2_clip	15	ASCENDING	-9.480549868642326	-14.86120697946773	0.28969052372525667
2014-12-12 18:00:00	35.6147346496582	sanlorenzo2_clip	117	ASCENDING	-11.162280924362909	-16.356656662736548	0.3023865194348394
2014-12-23 06:00:00	41.87123107910156	sanlorenzo2_clip	95	DESCENDING	-11.066782558394376	-17.00243667567827	0.2549380081270679
2014-12-29 18:00:00	45.17854690551758	sanlorenzo2_clip	15	ASCENDING	-12.03486686277351	-19.072246201887165	0.19781629618587035
2015-01-04 06:00:00	41.864341735839844	sanlorenzo2_clip	95	DESCENDING	-11.574853706835436	-16.980430194552493	0.28803306858394495
2015-01-05 18:00:00	35.61792755126953	sanlorenzo2_clip	117	ASCENDING	-12.233146169112128	-17.772462164434042	0.2792983695658257
2015-01-17 18:00:00	35.6161003112793	sanlorenzo2_clip	117	ASCENDING	-11.261739545343687	-16.58111551361358	0.29380717891015334
2015-01-28 06:00:00	41.86669921875	sanlorenzo2_clip	95	DESCENDING	-13.002774766154301	-20.846584633939692	0.16429298233081122
2015-01-29 18:00:00	35.627681732177734	sanlorenzo2_clip	117	ASCENDING	-7.372823692990847	-13.42987631573995	0.24791039522984476
2015-02-03 18:00:00	45.182029724121094	sanlorenzo2_clip	15	ASCENDING	-10.58930615677568	-17.1991232269519	0.21828218528701354
2015-02-09 06:00:00	41.8535041809082	sanlorenzo2_clip	95	DESCENDING	-11.693522605617519	-19.767465490475324	0.15581372544870228
2015-02-10 18:00:00	35.62700271606445	sanlorenzo2_clip	117	ASCENDING	-11.455910862080183	-16.885150597738356	0.2864679409155187
2015-02-15 18:00:00	45.18019104003906	sanlorenzo2_clip	15	ASCENDING	-10.205647467527427	-16.175413056379252	0.25294345193984813
2015-02-21 06:00:00	41.85350799560547	sanlorenzo2_clip	95	DESCENDING	-12.080694711344297	-18.916132039917958	0.207231736956475
2015-02-22 18:00:00	35.62801742553711	sanlorenzo2_clip	117	ASCENDING	-10.260037731599107	-15.577814250806119	0.2939154041309683
2015-02-27 18:00:00	45.175445556640625	sanlorenzo2_clip	15	ASCENDING	-10.803845373922021	-17.739947457383586	0.20248357110218804
2015-03-05 06:00:00	41.852508544921875	sanlorenzo2_clip	95	DESCENDING	-9.860450544809005	-16.159537356852194	0.23447217864929748
2015-03-06 18:00:00	35.62632369995117	sanlorenzo2_clip	117	ASCENDING	-10.274614869404697	-16.547636391401443	0.2358836546095643
2015-03-11 18:00:00	45.176795959472656	sanlorenzo2_clip	15	ASCENDING	-10.972887600877145	-17.917257120378085	0.20209848041339837
2015-03-17 06:00:00	41.85456085205078	sanlorenzo2_clip	95	DESCENDING	-9.05390731833406	-14.977535025338945	0.25564495658566233
2015-03-18 18:00:00	35.627811431884766	sanlorenzo2_clip	117	ASCENDING	-10.515648507632644	-16.95470750066964	0.22703567278207018
2015-03-22 06:00:00	31.4300219988641	sanlorenzo2_clip	168	DESCENDING	-10.668941444321213	-17.547513760144927	0.2051836581402231
2015-03-23 18:00:00	44.70988845825195	sanlorenzo2_clip	15	ASCENDING	-10.187652001405173	-16.717188498623425	0.22235471870838347
2015-03-29 07:00:00	41.851226806640625	sanlorenzo2_clip	95	DESCENDING	-10.798858264957437	-17.557473763730343	0.21093004733853085
2015-03-30 19:00:00	35.678001403808594	sanlorenzo2_clip	117	ASCENDING	-10.237591408441695	-15.824024412722602	0.2762846136091346
2015-04-03 07:00:00	31.42963409423828	sanlorenzo2_clip	168	DESCENDING	-11.452802329243786	-17.55416319533897	0.24539398506953725
2015-04-04 19:00:00	44.7133674621582	sanlorenzo2_clip	15	ASCENDING	-9.272541906373126	-14.718117852349117	0.28539240113844794
2015-04-10 07:00:00	41.85056686401367	sanlorenzo2_clip	95	DESCENDING	-11.283648809921527	-17.76334975948663	0.2249209478610621
2015-04-11 19:00:00	35.66360092163086	sanlorenzo2_clip	117	ASCENDING	-10.53734199328121	-16.44012937519877	0.25687465847463076
2015-04-15 07:00:00	31.430864334106445	sanlorenzo2_clip	168	DESCENDING	-11.930474384074811	-17.459033554644055	0.2799910072791491
2015-04-16 19:00:00	44.71610641479492	sanlorenzo2_clip	15	ASCENDING	-10.979779681180291	-16.32522789074327	0.29204863385891183
2015-04-22 07:00:00	41.8529167175293	sanlorenzo2_clip	95	DESCENDING	-12.054531166421983	-18.216504815384088	0.24199290613369526
2015-04-23 19:00:00	35.666175842285156	sanlorenzo2_clip	117	ASCENDING	-11.218390698309717	-16.28478030798337	0.3114304254309317
2015-04-27 07:00:00	31.427377700805664	sanlorenzo2_clip	168	DESCENDING	-10.016650369630142	-15.576616751258522	0.2779734785369855
2015-04-28 19:00:00	44.55542755126953	sanlorenzo2_clip	15	ASCENDING	-10.753400516603921	-16.56894632375993	0.26208696355792366
2015-05-04 07:00:00	41.8898811340332	sanlorenzo2_clip	95	DESCENDING	-10.19725248878589	-16.790924299300848	0.21909517776768184
2015-05-05 19:00:00	35.6334228515625	sanlorenzo2_clip	117	ASCENDING	-10.756191084423975	-16.27567637481591	0.2805766147177498
2015-05-09 07:00:00	31.379409790039062	sanlorenzo2_clip	168	DESCENDING	-11.569669027358735	-17.28619427697392	0.26813127606220355
2015-05-10 19:00:00	45.22161102294922	sanlorenzo2_clip	15	ASCENDING	-10.341429928908852	-16.21390542682611	0.2586738042629394
2015-05-16 07:00:00	41.874881744384766	sanlorenzo2_clip	95	DESCENDING	-10.278395359996018	-16.311450049922964	0.2492840724895639
2015-05-17 19:00:00	35.62740707397461	sanlorenzo2_clip	117	ASCENDING	-10.880203619605146	-16.26007544907426	0.289742909639671
2015-05-21 07:00:00	31.25879669189453	sanlorenzo2_clip	168	DESCENDING	-9.287077004284754	-15.356863419782814	0.24718457065312235
2015-05-22 19:00:00	44.87531661987305	sanlorenzo2_clip	15	ASCENDING	-9.622396467621908	-15.569922473840894	0.2542420603648101
2015-05-29 19:00:00	35.68743896484375	sanlorenzo2_clip	117	ASCENDING	-9.977103516248848	-14.890261131736274	0.3226147640609843
2015-06-02 07:00:00	31.427207946777344	sanlorenzo2_clip	168	DESCENDING	-10.535702179992708	-15.880137390503656	0.29211676263038466
2015-06-03 19:00:00	45.2208366394043	sanlorenzo2_clip	15	ASCENDING	-9.67518089646218	-15.132850694074023	0.2845987709518331
2015-06-09 07:00:00	41.33930206298828	sanlorenzo2_clip	95	DESCENDING	-9.687623734981173	-15.81536020946369	0.24390817268113116
2015-06-10 19:00:00	35.62447738647461	sanlorenzo2_clip	117	ASCENDING	-10.607746699007613	-15.412496947293434	0.33076913320415796
2015-06-14 07:00:00	31.39691925048828	sanlorenzo2_clip	168	DESCENDING	-10.929177849249726	-16.955166418782493	0.24968999637454048
2015-06-15 19:00:00	45.210506439208984	sanlorenzo2_clip	15	ASCENDING	-9.628757759963264	-15.454869162086084	0.26145012860282446
2015-06-22 19:00:00	35.62409591674805	sanlorenzo2_clip	117	ASCENDING	-10.095146222323276	-15.542285633611659	0.2852896780251321
2015-06-26 07:00:00	31.399463653564453	sanlorenzo2_clip	168	DESCENDING	-10.612055668785201	-15.974156530084922	0.290930942480796
2015-06-27 19:00:00	45.22103500366211	sanlorenzo2_clip	15	ASCENDING	-9.861731449623626	-15.806296266286594	0.25441547165321127
2015-07-03 07:00:00	41.34382629394531	sanlorenzo2_clip	95	DESCENDING	-10.37243855698047	-16.550996607539624	0.24107057010534857
2015-07-04 19:00:00	35.62434387207031	sanlorenzo2_clip	117	ASCENDING	-11.161624566722962	-16.414178560565063	0.2983627494771823
2015-07-09 19:00:00	45.210357666015625	sanlorenzo2_clip	15	ASCENDING	-10.599860953408216	-16.485407310522913	0.25789645015809287
2015-07-15 07:00:00	41.34639358520508	sanlorenzo2_clip	95	DESCENDING	-10.735916884184125	-16.407992039964746	0.27088969512934913
2015-07-16 19:00:00	35.68966293334961	sanlorenzo2_clip	117	ASCENDING	-11.076351609871598	-17.272773218302888	0.2400810264167025
2015-07-20 07:00:00	31.462926864624023	sanlorenzo2_clip	168	DESCENDING	-12.067413795627212	-17.96069900932888	0.2574373039878491
2015-07-21 19:00:00	45.213401794433594	sanlorenzo2_clip	15	ASCENDING	-10.69868775500463	-16.804366581034607	0.24515012408081474
2015-07-28 19:00:00	35.62773132324219	sanlorenzo2_clip	117	ASCENDING	-10.689745636852965	-16.566277792117504	0.2584322950805628
2015-08-01 07:00:00	31.491540908813477	sanlorenzo2_clip	168	DESCENDING	-11.624559433950509	-18.953622360291888	0.18496676772091933
2015-08-02 19:00:00	44.559268951416016	sanlorenzo2_clip	15	ASCENDING	-10.052365968120615	-17.36147537291956	0.18581854687724686
2015-08-08 07:00:00	41.34360885620117	sanlorenzo2_clip	95	DESCENDING	-11.466899827974759	-18.61622335970393	0.19278251728200038
2015-08-09 19:00:00	35.66187286376953	sanlorenzo2_clip	117	ASCENDING	-11.631286650030233	-18.868647807409783	0.18891388713786908
2015-08-13 07:00:00	31.49516487121582	sanlorenzo2_clip	168	DESCENDING	-11.750555379022401	-19.01131912731658	0.18789863500641193
2015-08-14 19:00:00	45.210819244384766	sanlorenzo2_clip	15	ASCENDING	-11.630717878841082	-18.53260501840327	0.2040850941126732
2015-08-20 07:00:00	41.3436393737793	sanlorenzo2_clip	95	DESCENDING	-9.508559901176358	-16.267932886335693	0.2108932606159546
2015-08-21 19:00:00	35.663490295410156	sanlorenzo2_clip	117	ASCENDING	-11.365093327343885	-18.4907426067122	0.19383628249772097
2015-08-25 07:00:00	31.49502944946289	sanlorenzo2_clip	168	DESCENDING	-9.161262987923767	-16.025292298233442	0.20587189824988428
2015-08-26 19:00:00	45.21266555786133	sanlorenzo2_clip	15	ASCENDING	-10.596656462622962	-18.024551153318694	0.1808050393841485
2015-09-01 07:00:00	41.34589385986328	sanlorenzo2_clip	95	DESCENDING	-10.616306674100812	-18.56078719023676	0.16052842636217216
2015-09-02 19:00:00	35.66315460205078	sanlorenzo2_clip	117	ASCENDING	-11.824361834563497	-18.193139084499403	0.23073967416138288
2015-09-06 07:00:00	31.496395111083984	sanlorenzo2_clip	168	DESCENDING	-11.885089938730257	-18.64587268759397	0.2108248136457387
2015-09-07 19:00:00	45.212440490722656	sanlorenzo2_clip	15	ASCENDING	-11.67034847249925	-18.56291438101292	0.20452359087671507
2015-09-13 07:00:00	41.33195114135742	sanlorenzo2_clip	95	DESCENDING	-11.553956808086149	-18.499953343706885	0.20202278156995146
2015-09-14 19:00:00	35.662925720214844	sanlorenzo2_clip	117	ASCENDING	-10.808443015921895	-17.73828227411448	0.20277577698455693
2015-09-18 07:00:00	31.495996475219727	sanlorenzo2_clip	168	DESCENDING	-9.974257780399027	-17.205083104204657	0.18919840359398776
2015-09-19 19:00:00	45.21337127685547	sanlorenzo2_clip	15	ASCENDING	-11.590336328836724	-19.1360668283695	0.17596526587607933
2015-09-26 19:00:00	35.664085388183594	sanlorenzo2_clip	117	ASCENDING	-11.033310763463405	-18.577613143716835	0.17602313921362236
2015-09-30 07:00:00	31.4951229095459	sanlorenzo2_clip	168	DESCENDING	-11.43465746956984	-18.75773416430591	0.1852218981488937
2015-10-01 19:00:00	45.21271896362305	sanlorenzo2_clip	15	ASCENDING	-9.45307446873627	-15.92223434964479	0.22546753246671247
2015-10-08 19:00:00	35.66303634643555	sanlorenzo2_clip	117	ASCENDING	-10.090356067439833	-17.2592823880239	0.19191431399280665
2015-10-12 07:00:00	31.491987228393555	sanlorenzo2_clip	168	DESCENDING	-9.600104615280628	-16.764089068568644	0.19213281892904507
