Date,PET_mean (kg/m2/8day),PET_variance
2017-03-22T00:00:00Z,28.51590909,0.008888889
2017-03-30T00:00:00Z,28.93295455,0.14
2017-04-07T00:00:00Z,39.41931818,0.042222222
2017-04-15T00:00:00Z,36.23181818,0.068888889
2017-04-23T00:00:00Z,34.86363636,0.575555556
2017-05-01T00:00:00Z,36.14659091,0.242222222
2017-05-09T00:00:00Z,45.09431818,0.286666667
2017-05-17T00:00:00Z,52.99318182,0.115555556
2017-05-25T00:00:00Z,60.67954545,0.186666667
2017-06-02T00:00:00Z,55.28181818,0.042222222
2017-06-10T00:00:00Z,59.25795455,0.135555556
2017-06-18T00:00:00Z,61.44204545,0.082222222
2017-06-26T00:00:00Z,54.12386364,0.02
2017-07-04T00:00:00Z,65.65568182,0.108888889
2017-07-12T00:00:00Z,61.14204545,0.406666667
2017-07-20T00:00:00Z,55.75454545,0.042222222
2017-07-28T00:00:00Z,61.49204545,0.162222222
2017-08-05T00:00:00Z,52.23333333,0.0225
2017-08-13T00:00:00Z,53.95568182,0.166666667
2017-08-21T00:00:00Z,53,0
2017-08-29T00:00:00Z,46.06136364,0.02
2017-09-06T00:00:00Z,27.25,0.0625
2017-09-14T00:00:00Z,29.04772727,0.028888889
2017-09-22T00:00:00Z,27.11,0.0025
2017-09-30T00:00:00Z,22.65113636,0.006666667
2017-10-08T00:00:00Z,27.528,0.0025
2017-10-16T00:00:00Z,25.27777778,0.0025
2017-10-24T00:00:00Z,19.24204545,0.135555556
2017-11-01T00:00:00Z,9.096590909,0.028888889
2017-11-17T00:00:00Z,7.092045455,0.002222222
2017-11-25T00:00:00Z,6.785227273,0.02
2017-12-03T00:00:00Z,5.331818182,0.035555556
2017-12-11T00:00:00Z,5.415909091,0.008888889
2017-12-19T00:00:00Z,6.067045455,0.015555556
2017-12-27T00:00:00Z,2.951136364,0.006666667
2018-01-01T00:00:00Z,5.243181818,0.008888889
2018-01-09T00:00:00Z,4.963636364,0.006666667
2018-01-17T00:00:00Z,8.023863636,0.02
2018-02-02T00:00:00Z,6.188888889,0.0625
2018-02-10T00:00:00Z,9.563636364,0.006666667
2018-02-18T00:00:00Z,5.7,0
2018-02-26T00:00:00Z,6.109090909,1.28
2018-03-06T00:00:00Z,9,0
2018-03-22T00:00:00Z,22.52727273,0.026666667
2018-03-30T00:00:00Z,24.7,0
2018-04-07T00:00:00Z,28.66022727,0.055555556
2018-04-15T00:00:00Z,42.47159091,0.002222222
2018-04-23T00:00:00Z,47.23636364,0.142222222
