Date;NDVI_mean;NDVI_variance;Geometry
2017-04-24T10:11:20.576Z;0.736673728;0.010989013;SanLorenzo1
2017-06-03T10:10:26.456Z;0.553894406;0.009654665;SanLorenzo1
2017-06-13T10:16:08.198Z;0.491515271;0.011315056;SanLorenzo1
2017-06-23T10:11:21.182Z;0.329819312;0.006335189;SanLorenzo1
2017-07-03T10:10:41.498Z;0.40482243;0.011771604;SanLorenzo1
2017-07-13T10:11:19.572Z;0.32499526;0.005745551;SanLorenzo1
2017-07-23T10:10:29.063Z;0.309962925;0.014329368;SanLorenzo1
2017-08-02T10:10:51.714Z;0.298454591;0.009979767;SanLorenzo1
2017-08-12T10:10:26.460Z;0.302479743;0.00888963;SanLorenzo1
2017-08-22T10:10:57.933Z;0.293428116;0.007227438;SanLorenzo1
2017-09-21T10:14:36.608Z;0.557255074;0.010456918;SanLorenzo1
2017-12-20T10:14:26.459Z;0.504866861;0.031696272;SanLorenzo1
2018-03-25T10:15:11.692Z;0.581485165;0.023158271;SanLorenzo1
2018-04-19T10:14:57Z;0.645158744;0.00436431;SanLorenzo1
2018-05-19T10:12:07.482Z;0.707575822;0.013683644;SanLorenzo1
2018-06-23T10:11:39.224Z;0.537166967;0.009395233;SanLorenzo1
2018-06-28T10:13:58.319Z;0.507778501;0.007584473;SanLorenzo1
2018-07-08T10:18:03.646Z;0.462970533;0.007292657;SanLorenzo1
2018-07-13T10:10:23.458Z;0.437985343;0.007554605;SanLorenzo1
2018-07-18T10:15:39.336Z;0.458280383;0.010608688;SanLorenzo1
2018-07-23T10:10:36.891Z;0.489025283;0.009639333;SanLorenzo1
2018-08-02T10:10:20Z;0.443544518;0.008985062;SanLorenzo1
2018-08-07T10:10:24.457Z;0.417859726;0.008688425;SanLorenzo1
2018-08-12T10:11:24.399Z;0.404913148;0.011182739;SanLorenzo1
2018-08-17T10:10:24.461Z;0.401954451;0.011956557;SanLorenzo1
2018-08-22T10:13:21.460Z;0.368373013;0.010801928;SanLorenzo1
2018-08-27T10:18:08.861Z;0.429485481;0.01738326;SanLorenzo1
2018-09-06T10:18:11.466Z;0.509708528;0.022886463;SanLorenzo1
2018-09-11T10:14:38.831Z;0.499652671;0.025698158;SanLorenzo1
2018-09-21T10:16:47Z;0.480565456;0.026476188;SanLorenzo1
2018-09-26T10:17:04.527Z;0.484583112;0.028146729;SanLorenzo1
2018-10-21T10:12:01Z;0.625282131;0.018473491;SanLorenzo1
2018-11-15T10:18:37Z;0.520261285;0.015546796;SanLorenzo1
2018-12-05T10:18:34Z;0.4000351;0.006902752;SanLorenzo1
2018-12-10T10:18:36.695Z;0.773444893;0.004642345;SanLorenzo1
2018-12-25T10:18:35Z;0.748447994;0.00515266;SanLorenzo1
2019-01-04T10:18:37Z;0.68564855;0.006777596;SanLorenzo1
2019-01-14T10:18:38Z;0.677762586;0.005390131;SanLorenzo1
2019-01-29T10:18:43.146Z;0.65159121;0.004681381;SanLorenzo1
2019-02-08T10:18:43Z;0.650407449;0.005890575;SanLorenzo1
2019-02-13T10:18:39Z;0.664616568;0.004807695;SanLorenzo1
2019-02-23T10:18:38Z;0.634123054;0.005278874;SanLorenzo1
2019-03-15T10:18:39.275Z;0.70072991;0.00486827;SanLorenzo1
2019-03-25T10:18:41Z;0.7365405;0.003698589;SanLorenzo1
2019-03-30T10:18:44Z;0.756765162;0.004151586;SanLorenzo1
2019-04-19T10:18:48Z;0.807221819;0.001700263;SanLorenzo1
2019-06-03T10:18:45Z;0.629160663;0.005218135;SanLorenzo1
2019-06-13T10:18:45Z;0.648643203;0.004528574;SanLorenzo1
2019-06-18T10:18:50Z;0.613890286;0.004657173;SanLorenzo1
2019-06-23T10:18:47.043Z;0.619123379;0.004828593;SanLorenzo1
2019-06-28T10:18:47.067Z;0.537853229;0.00506476;SanLorenzo1
2019-07-03T10:18:47.762Z;0.505593989;0.006061211;SanLorenzo1
2019-07-23T10:18:47.929Z;0.440471095;0.009695317;SanLorenzo1
2019-09-01T10:18:43.366Z;0.373557566;0.006163681;SanLorenzo1
2019-09-11T10:18:41.121Z;0.479492635;0.007367092;SanLorenzo1
2019-09-16T10:18:42.496Z;0.452975094;0.007200933;SanLorenzo1
